file,slide,tier,surface,fk,words,stem
BUILD__SCI_B_W3A_Backbones_Explore.html,arrival,Supported,screen,4.8,11,What you know: Point to the backbone on the skeleton picture.
BUILD__SCI_B_W3A_Backbones_Explore.html,arrival,Supported,screen,4.8,10,Animals you know: Point to an animal card you know.
BUILD__SCI_B_W3A_Backbones_Explore.html,arrival,Supported,screen,3.3,13,Think about it: Point to a hard animal. Point to a soft animal.
BUILD__SCI_B_W3A_Backbones_Explore.html,arrival,Supported,screen,1.6,11,Lead-in: Look at the crab picture. Point to its hard outside.
BUILD__SCI_B_W3A_Backbones_Explore.html,arrival,Standard,screen,1.5,14,What you know: Name two bones you already know. Then point to the backbone.
BUILD__SCI_B_W3A_Backbones_Explore.html,arrival,Standard,screen,3.1,15,Animals you know: Name an animal you think has bones inside. Say how you know.
BUILD__SCI_B_W3A_Backbones_Explore.html,arrival,Standard,screen,3.7,9,Think about it: Say one thing a skeleton does.
BUILD__SCI_B_W3A_Backbones_Explore.html,arrival,Standard,screen,2.4,13,Lead-in: A crab feels hard outside. Say one thing you notice about that.
BUILD__SCI_B_W3A_Backbones_Explore.html,arrival,Stretch,screen,5.8,13,What you know: What do you already know about what a skeleton does?
BUILD__SCI_B_W3A_Backbones_Explore.html,arrival,Stretch,screen,3.5,12,Animals you know: Which animals do you think have bones inside? Why?
BUILD__SCI_B_W3A_Backbones_Explore.html,arrival,Stretch,screen,2.3,15,Think about it: What might hold up an animal with no bones? Say your idea.
BUILD__SCI_B_W3A_Backbones_Explore.html,arrival,Stretch,screen,0.5,16,Lead-in: A crab is hard outside. A worm is soft. What questions does that give you?
BUILD__SCI_B_W3A_Backbones_Explore.html,starter,,screen,3.2,25,"A crab can feel hard and protected, but it has no bones inside. How can that be? Choose a hypothesis before we reveal the inside."
BUILD__SCI_B_W3A_Backbones_Explore.html,independent,,screen,3.6,27,Creature X-Ray case file. Sort the eight animal cards. Make two groups. Then pick one animal. Prove its classification. Your evidence is body parts yo
BUILD__SCI_B_W3A_Backbones_Explore.html,independent,,screen,2.0,47,◆ Use the BACKBONE mat. Use the NO BACKBONE mat. Sort your cards. Two anchor cards help. 🧰 Scaffold Anchor cards. A fish has an internal backbone. A c
BUILD__SCI_B_W3A_Backbones_Explore.html,independent,,screen,0.8,40,▲ Sort all eight animals. Then pick one. Write one ‘because’ sentence. It must prove your choice. 🧰 Scaffold Sentence stem. ‘The ___ is a ___ because 
BUILD__SCI_B_W3A_Backbones_Explore.html,independent,,screen,3.3,47,★ Sort them all. Justify two choices. An invertebrate has no backbone. Explain what holds it up. 🧰 Scaffold Add a counterexample. Pick a big animal. P
BUILD__SCI_B_W3A_Backbones_Explore.html,exit,Supported,screen,5.2,5,Circle the vertebrate: worm / cat.
BUILD__SCI_B_W3A_Backbones_Explore.html,exit,Standard,screen,5.8,12,Name one vertebrate and one invertebrate and give the test you used.
BUILD__SCI_B_W3A_Backbones_Explore.html,exit,Stretch,screen,9.7,12,Explain how an animal can be supported even without an internal backbone.
BUILD__SCI_B_W3A_Backbones_Explore.html,print,Supported,print,-0.0,16,◆ Use the BACKBONE mat. Use the NO BACKBONE mat. Sort your cards. Two anchor cards help.
