pathway,week,file,severity,fix_type,quoted,issue,disposition
BUILD,W3,SCI_B_W3B_Backbone_Detectives_Do.html,medium,MECHANICAL-FIX,"<td style=""padding:7px 8px;border:1px solid #999"">Backbones and No Backbones — BUILD Science · Week 3 (40-min ","The Assessor Witness Statement names this lesson ""Backbones and No Backbones"", which is W3A's title. This file's lesson is ""Backbone Detectives"" (<h1>",PROPOSED / not applied
BUILD,W4,SCI_B_W4A_Muscles_Explore.html,high,PROPOSED,Cardboard arm models; split pins; elastic bands/string; biceps/triceps labels; pre-assembled models; projector,"The lesson issues ELASTIC BANDS as equipment and its safety cell says ""Elastic bands stay controlled and away from faces."" The governing teacher safet",FIXED 8b40204
BUILD,W4,SCI_B_W4B_Muscle_Model_Do.html,high,PROPOSED,Cardboard arm kit; split pins; string/elastic; labels; scissors if locally approved; pre-assembled spares; tab,"Same contradiction as W4A. This lesson issues ""string/elastic"" and its safety cell says ""Elastic/string remains low tension."", while BUILD_SCIENCE_PRA",FIXED 8b40204
BUILD,W4,SCI_B_W4A_Muscles_Explore.html,medium,MECHANICAL-FIX,"<p class=""pentry"" style=""margin:0 0 8px;font-size:.92rem""><b>New to this class, or not sure?</b> Everything yo","Screen/print parity break in the entry route for pupils new to the class. On screen the sentence sits INSIDE div.entry-route, which is placed directly",FIXED 1da0209/2fce03d/927be7a
BUILD,W5,SCI_B_W5B_Nutrition_Mission_Do.html,medium,MECHANICAL-FIX,"<td style=""padding:7px 8px;border:1px solid #999"">What a Body Needs — BUILD Science · Week 5 (40-min route · D","The printed assessor witness statement in W5B names the lesson as ""What a Body Needs"", which is the W5A lesson. Every other surface of this file (brow",PROPOSED / not applied
BUILD,W6,SCI_B_W6A_Balanced_Plate_Explore.html,medium,MECHANICAL-FIX,"Balance is a pattern, not five identical sections or a ban list.","The retry feedback names FIVE sections, but this lesson's plate model has FOUR groups throughout: the hero SVG paints four sectors labelled FRUIT & VE",PROPOSED / not applied
BUILD,W6,SCI_B_W6A_Balanced_Plate_Explore.html,medium,ONE-LINE-REWORD,Check allergies before real packaging is handled.,Cross-check 8 (teacher docs must contradict no lesson) fails here. BUILD_SCIENCE_PRACTICALS_MATRIX.html and BUILD_SCIENCE_PRACTICALS_MATRIX_PROGRESS_S,PROPOSED / not applied
BUILD,W6,SCI_B_W6B_Balanced_Plate_Do.html,low,MECHANICAL-FIX,What is the best improvement to an unlabeled plate model?,"US spelling in a file declared lang=""en-GB"" that uses the UK form 'labelled' four times elsewhere (success criteria 'Build a labelled model…', Support",PROPOSED / not applied
GROW,W3,SCI_G_W3A_Friction_Explore.html,high,MECHANICAL-FIX,"Trainer sole or rubber, smooth plastic/laminate, fabric/carpet, rough card/sandpaper, everyday friction pictur","The W3A equipment list offers sandpaper, but the pathway's own safety authority document forbids it. GROW_SCIENCE_PRACTICALS_MATRIX.html (and the PROG",FIXED 8084da9
GROW,W3,SCI_G_W3A_Friction_Explore.html,medium,ONE-LINE-REWORD,"<span class=""wh-bridge"" hidden>the rub that slows things down</span>",The WORD HELP bridge defines friction as the thing that slows movement — which is precisely the misconception this lesson exists to repair. The same f,PROPOSED / not applied
GROW,W3,SCI_G_W3A_Friction_Explore.html,medium,ONE-LINE-REWORD,"<b>Rule:</b> Arrival retrieves three times and then leads in. R1 is last lesson, R2 is the previous week, R3 i","Self-contradiction on the same slide. Six lines above, the retr-declare states: ""Weeks 1 and 2 were baseline. No science has been taught yet, so all t",FIXED 927be7a
GROW,W3,SCI_G_W3B_Friction_Do.html,medium,ONE-LINE-REWORD,"<b>Rule:</b> Arrival retrieves three times and then leads in. R1 is last lesson, R2 is the previous week, R3 i","Same unlocalised boilerplate as W3A. W3B's own retr-declare states: ""Week 3 is the first taught week. R1 recalls last lesson. R2 and R3 have no earlie",FIXED 927be7a
GROW,W3,SCI_G_W3B_Friction_Do.html,medium,MECHANICAL-FIX,Friction: Friend and Enemy — GROW Science · Week 3 (40-min route · Do),"The witness statement in W3B names the W3A lesson. W3B's own <h1> is ""Friction: Test the Surfaces"" and its <title> is ""GROW Science W3B · Do · Frictio",PROPOSED / not applied
GROW,W5,SCI_G_W5B_Fair_Test_Do.html,medium,MECHANICAL-FIX,"<div class=""print-box"">◆ Prepared table + marked release point + adult reads sequence aloud when needed.</div>",SCREEN/PRINT PARITY BREAK. The screen Supported route card reads '◆ Prepared table + marked release point. An adult reads each step aloud.' with scaff,PROPOSED / not applied
GROW,W5,SCI_G_W5B_Fair_Test_Do.html,medium,MECHANICAL-FIX,"<div class=""print-box"">▲ Three repeats with units + evidence-based conclusion.</div>
<h3>Scaffold</h3><div cla",SCREEN/PRINT PARITY BREAK. Screen Standard route card is '▲ Three repeats with units + a clear conclusion. Base it on your results.' with scaffold 'Co,PROPOSED / not applied
