pathway,kind,file,path,bytes,sha256,scripts,slides,witness,word_help,word_bank,oak_links,pm_pp_class,pm_proute,pm_printpack,pm_pline_class,pm_pidline,pm_pentry,pm_printTier,pm_printA,pm_printB,pm_afterprint,pm_media_print,sn_loop_mark,sn_closure_line
BUILD,doc,BUILD_DAILY_REFLECTION_EVIDENCE_WINDOW.html,Science_Teesside/Build/v3_40min/BUILD_DAILY_REFLECTION_EVIDENCE_WINDOW.html,9710,e304d9d9b2bc96c9a037c5dee408dd87707d2f56feac6c2ac3d1963043109bd3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUILD,doc,BUILD_SCIENCE_PRACTICALS_MATRIX.html,Science_Teesside/Build/v3_40min/BUILD_SCIENCE_PRACTICALS_MATRIX.html,11255,fa1b154297f03f14e295fd52e5b37503d6838bd7d5cbbd83719ae9252016ffff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BUILD,doc,BUILD_SCIENCE_PRACTICALS_MATRIX_PROGRESS_SCHOOLS.html,Science_Teesside/Build/v3_40min/BUILD_SCIENCE_PRACTICALS_MATRIX_PROGRESS_SCHOOLS.html,11398,2f1eeac1cf238d9499303afe216a739d3b4a64f71294f2acd494c2c370f68dda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BUILD,lesson,SCI_B_W3A_Backbones_Explore.html,Science_Teesside/Build/v3_40min/SCI_B_W3A_Backbones_Explore.html,60629,33c79e5962f73d5bf30a02c86adeb89fd2313dcb4cf75a5404e2f6c191e66544,2,9,2,0,2,1,3,8,3,3,1,1,1,0,0,1,2,0,0
BUILD,lesson,SCI_B_W3B_Backbone_Detectives_Do.html,Science_Teesside/Build/v3_40min/SCI_B_W3B_Backbone_Detectives_Do.html,60459,a41716d013b3318cab92f2015120c845b9f9cc4b8e3010b1807a38cf6279ec91,2,9,2,0,2,1,3,8,3,3,1,1,1,0,0,1,2,0,0
BUILD,lesson,SCI_B_W4A_Muscles_Explore.html,Science_Teesside/Build/v3_40min/SCI_B_W4A_Muscles_Explore.html,61016,44ae330e2ed9f915788b805d5beb15671185013a14f521f650624930231262af,2,9,2,0,2,1,3,8,3,3,1,1,1,0,0,1,2,0,0
BUILD,lesson,SCI_B_W4B_Muscle_Model_Do.html,Science_Teesside/Build/v3_40min/SCI_B_W4B_Muscle_Model_Do.html,61294,de6b2deb1d15ebd666ffd3ce42405c096daa1aa67dafcd0d1589c401bce1a45b,2,9,2,0,2,1,3,8,3,3,1,1,1,0,0,1,2,0,0
BUILD,lesson,SCI_B_W5A_Body_Needs_Explore.html,Science_Teesside/Build/v3_40min/SCI_B_W5A_Body_Needs_Explore.html,60381,d7a4c3c4a7f36d3a769909e453f975c288ad4ab52ee0042b213c72a702a19c4b,2,9,2,0,2,0,3,8,3,3,1,1,1,0,0,1,2,0,0
BUILD,lesson,SCI_B_W5B_Nutrition_Mission_Do.html,Science_Teesside/Build/v3_40min/SCI_B_W5B_Nutrition_Mission_Do.html,59898,e73cbc36715fba3e0b291062b233ee9351e0088a29b2f2829f9021fb2e8ad2e2,2,9,2,0,0,0,3,8,3,3,1,1,1,0,0,1,2,0,0
BUILD,lesson,SCI_B_W6A_Balanced_Plate_Explore.html,Science_Teesside/Build/v3_40min/SCI_B_W6A_Balanced_Plate_Explore.html,60300,93b31082bef136a89033953069fd0c49845e717a5b7423529cd099e0e1c6d4eb,2,9,2,0,0,0,3,8,3,3,1,1,1,0,0,1,2,0,0
BUILD,lesson,SCI_B_W6B_Balanced_Plate_Do.html,Science_Teesside/Build/v3_40min/SCI_B_W6B_Balanced_Plate_Do.html,59831,08e05845524aef2ec48a72de85e606171c0869f9a0a69f34547fe28cc5406baa,2,9,2,0,0,0,3,8,3,3,1,1,1,0,0,1,2,0,0
BUILD,lesson,SCI_B_W7A_Food_Sources_Explore.html,Science_Teesside/Build/v3_40min/SCI_B_W7A_Food_Sources_Explore.html,60340,e8a1341ed3b7eae3159c7e2321c4f3080ce9cbea515530622b1382ba52c71b98,2,9,2,0,0,0,3,8,3,3,1,1,1,0,0,1,2,0,0
BUILD,lesson,SCI_B_W7B_Food_Chain_Do.html,Science_Teesside/Build/v3_40min/SCI_B_W7B_Food_Chain_Do.html,60314,64fb0c3d1b054c9bad2e0f5c4a63f49f12103391c3b5b4941e54938f389f71f9,2,9,2,0,0,0,3,8,3,3,1,1,1,0,0,1,2,0,0
BUILD,doc,TEACHER_IMPLEMENTATION_GUIDE.html,Science_Teesside/Build/v3_40min/TEACHER_IMPLEMENTATION_GUIDE.html,2883,82395df0d45d4ef0424c730808a0dd68aa29818ec8d7fb6b51ee0b9af6aa53a4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUILD,index,index.html,Science_Teesside/Build/v3_40min/index.html,5663,59a81c3538e2ef86fcd36b4416acbe295d0266578da3faae3b4a629982932f29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BUILD,manifest,manifest-v3.json,Science_Teesside/Build/v3_40min/manifest-v3.json,8160,226e9c800f6191aaa15621e54f665764056f56d7b66c559914cacdc9fa2a6a10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GROW,doc,GROW_SCIENCE_PRACTICALS_MATRIX.html,Science_Teesside/Grow/v3_40min/GROW_SCIENCE_PRACTICALS_MATRIX.html,15405,444d00a7623ed7d50ddac7f22a9da70b2461f5b653a867fafc0d90436509e4a8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GROW,doc,GROW_SCIENCE_PRACTICALS_MATRIX_PROGRESS_SCHOOLS.html,Science_Teesside/Grow/v3_40min/GROW_SCIENCE_PRACTICALS_MATRIX_PROGRESS_SCHOOLS.html,15548,04b06ece47ea9940621e252f4b5edd1456474516109f506ba625403a65ea7b39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GROW,doc,LUNDY_DAILY_REFLECTION_EVIDENCE_WINDOW.html,Science_Teesside/Grow/v3_40min/LUNDY_DAILY_REFLECTION_EVIDENCE_WINDOW.html,5922,82de3feac96387040b8a940192381af7ca18d2908fb6dda7c94b4366e6dc4d72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GROW,lesson,SCI_G_W3A_Friction_Explore.html,Science_Teesside/Grow/v3_40min/SCI_G_W3A_Friction_Explore.html,94747,10bc946bd1a56bc43d5d5edad0a887195da84b4805748bd0534b4bb5d4c94614,2,9,2,4,4,1,0,0,0,0,1,1,6,0,0,1,4,0,4
