file,term,bridge
GROW__SCI_G_W3A_Friction_Explore.html,friction,the rub that slows things down
GROW__SCI_G_W3A_Friction_Explore.html,surface,the outside face that touches
GROW__SCI_G_W3A_Friction_Explore.html,resistance,pushing back against movement
GROW__SCI_G_W3B_Friction_Do.html,evidence,"what you found out, written down"
GROW__SCI_G_W3B_Friction_Do.html,observation,"what you saw, recorded carefully"
GROW__SCI_G_W3B_Friction_Do.html,repeat,doing it again the same way
GROW__SCI_G_W4A_Mechanisms_Explore.html,mechanism,a part that changes a force
GROW__SCI_G_W4A_Mechanisms_Explore.html,pivot,the point it turns around
GROW__SCI_G_W4A_Mechanisms_Explore.html,effort,the push or pull you supply
GROW__SCI_G_W4B_Mechanisms_Do.html,load,the thing being lifted
GROW__SCI_G_W4B_Mechanisms_Do.html,pivot,the point it turns around
GROW__SCI_G_W4B_Mechanisms_Do.html,effort,the push or pull you supply
GROW__SCI_G_W5A_Fair_Test_Explore.html,variable,a thing that can change
GROW__SCI_G_W5A_Fair_Test_Explore.html,control,keep it the same on purpose
GROW__SCI_G_W5A_Fair_Test_Explore.html,fair test,only one thing changed on purpose
GROW__SCI_G_W5B_Fair_Test_Do.html,mean,the total of the repeats divided by the number of repeats
GROW__SCI_G_W5B_Fair_Test_Do.html,unit,what the number is measured in
GROW__SCI_G_W5B_Fair_Test_Do.html,evidence,"what you found out, written down"
GROW__SCI_G_W6A_Earth_And_Planets_Explore.html,orbit,the path one object takes around another
GROW__SCI_G_W6A_Earth_And_Planets_Explore.html,gravity,the pull between masses
GROW__SCI_G_W6A_Earth_And_Planets_Explore.html,Solar System,the Sun and everything going round it
GROW__SCI_G_W6B_Earth_And_Planets_Do.html,model,something built to stand for the real thing
GROW__SCI_G_W6B_Earth_And_Planets_Do.html,orbit,the path one object takes around another
GROW__SCI_G_W6B_Earth_And_Planets_Do.html,represent,stand for something real
GROW__SCI_G_W7A_The_Moon_Explore.html,phase,the shape of the Moon we can see
GROW__SCI_G_W7A_The_Moon_Explore.html,orbit,the path one object takes around another
GROW__SCI_G_W7A_The_Moon_Explore.html,observer,the person looking
GROW__SCI_G_W7B_The_Moon_Do.html,phase,the shape of the Moon we can see
GROW__SCI_G_W7B_The_Moon_Do.html,eclipse,one object blocking light to another
GROW__SCI_G_W7B_The_Moon_Do.html,model,something built to stand for the real thing
LAUNCH__SCI_L_W3L1_Microscopy_Introduce.html,magnification,how many times bigger the image looks
LAUNCH__SCI_L_W3L1_Microscopy_Introduce.html,resolution,how much fine detail you can still tell apart
LAUNCH__SCI_L_W3L1_Microscopy_Introduce.html,objective,the lens closest to the specimen
LAUNCH__SCI_L_W3L2_Calculating_Magnification_Explore.html,magnification,how many times bigger the image is than the real thing
LAUNCH__SCI_L_W3L2_Calculating_Magnification_Explore.html,micrometre,one thousandth of a millimetre
LAUNCH__SCI_L_W3L2_Calculating_Magnification_Explore.html,calculate,"work it out with numbers, showing the steps"
LAUNCH__SCI_L_W3L3_Magnification_Lab_Do.html,method,"the steps you took, written so another person could repeat them"
LAUNCH__SCI_L_W3L3_Magnification_Lab_Do.html,magnification,how many times bigger the image is than the real thing
LAUNCH__SCI_L_W3L3_Magnification_Lab_Do.html,calculate,"work it out with numbers, showing the steps"
LAUNCH__SCI_L_W4L1_Diffusion_Introduce.html,diffusion,spreading out from where there is more to where there is less
LAUNCH__SCI_L_W4L1_Diffusion_Introduce.html,concentration gradient,the difference between a more crowded area and a less crowded one
LAUNCH__SCI_L_W4L1_Diffusion_Introduce.html,net movement,the overall direction once both ways are counted
LAUNCH__SCI_L_W4L2_Diffusion_Lungs_Explore.html,alveoli,the tiny air sacs in the lungs
LAUNCH__SCI_L_W4L2_Diffusion_Lungs_Explore.html,diffusion,spreading out from where there is more to where there is less
LAUNCH__SCI_L_W4L2_Diffusion_Lungs_Explore.html,concentration gradient,the difference between a more crowded area and a less crowded one
LAUNCH__SCI_L_W4L3_Diffusion_Explanation_Do.html,explain,"say how or why, linking cause to effect"
LAUNCH__SCI_L_W4L3_Diffusion_Explanation_Do.html,diffusion,spreading out from where there is more to where there is less
LAUNCH__SCI_L_W4L3_Diffusion_Explanation_Do.html,evidence,the observation or data your claim rests on
LAUNCH__SCI_L_W5L1_Osmosis_Introduce.html,osmosis,water moving across a membrane towards the stronger solution
LAUNCH__SCI_L_W5L1_Osmosis_Introduce.html,partially permeable,lets some things through but not others
LAUNCH__SCI_L_W5L1_Osmosis_Introduce.html,membrane,the thin layer around a cell
LAUNCH__SCI_L_W5L2_Osmosis_Core_Practical_Explore.html,osmosis,water moving across a membrane towards the stronger solution
LAUNCH__SCI_L_W5L2_Osmosis_Core_Practical_Explore.html,percentage change,"the change compared with what you started with, as a percentage"
LAUNCH__SCI_L_W5L2_Osmosis_Core_Practical_Explore.html,variable,"something that can change; here, only the concentration should"
LAUNCH__SCI_L_W5L3_Osmosis_Data_Do.html,percentage change,"the change compared with what you started with, as a percentage"
LAUNCH__SCI_L_W5L3_Osmosis_Data_Do.html,evaluate,"judge how good the method or evidence was, and say why"
LAUNCH__SCI_L_W5L3_Osmosis_Data_Do.html,evidence,the data your conclusion rests on
LAUNCH__SCI_L_W6L1_Active_Transport_Introduce.html,active transport,"moving substances against the gradient, using energy"
LAUNCH__SCI_L_W6L1_Active_Transport_Introduce.html,concentration gradient,the difference between a more crowded area and a less crowded one
LAUNCH__SCI_L_W6L1_Active_Transport_Introduce.html,respiration,the reaction in cells that releases energy
LAUNCH__SCI_L_W6L2_Root_Hairs_And_Gut_Explore.html,root hair,a long thin outgrowth of a root cell that increases surface area
LAUNCH__SCI_L_W6L2_Root_Hairs_And_Gut_Explore.html,active transport,"moving substances against the gradient, using energy"
LAUNCH__SCI_L_W6L2_Root_Hairs_And_Gut_Explore.html,respiration,the reaction in cells that releases energy
LAUNCH__SCI_L_W6L3_Compare_Transport_Do.html,active transport,"moving substances against the gradient, using energy"
LAUNCH__SCI_L_W6L3_Compare_Transport_Do.html,compare,"say what is the same and what is different, on stated points"
LAUNCH__SCI_L_W6L3_Compare_Transport_Do.html,concentration gradient,the difference between a more crowded area and a less crowded one
LAUNCH__SCI_L_W7L1_Topic_1_Round_Up_Introduce.html,diffusion,spreading out from where there is more to where there is less
LAUNCH__SCI_L_W7L1_Topic_1_Round_Up_Introduce.html,osmosis,water moving across a membrane towards the stronger solution
LAUNCH__SCI_L_W7L1_Topic_1_Round_Up_Introduce.html,active transport,"moving substances against the gradient, using energy"
LAUNCH__SCI_L_W7L2_Command_Words_Explore.html,describe,"say what is there or what happens, without saying why"
LAUNCH__SCI_L_W7L2_Command_Words_Explore.html,explain,"say how or why, linking cause to effect"
LAUNCH__SCI_L_W7L2_Command_Words_Explore.html,evaluate,weigh it up and reach a judgement you justify
LAUNCH__SCI_L_W7L3_Exam_Practice_Do.html,explain,"say how or why, linking cause to effect"
LAUNCH__SCI_L_W7L3_Exam_Practice_Do.html,evaluate,weigh it up and reach a judgement you justify
LAUNCH__SCI_L_W7L3_Exam_Practice_Do.html,evidence,the data or observation your answer rests on
