# PEQ-E3 authorised protected-window deltas.
# The protected STRING is byte-identical in every case, and every marker count is
# unchanged. What moved is the LEVEL FRAMING prose inside the marker window: the
# award/banking line the E1 ruling re-anchors from Level 1 to Entry 3 (Level 1
# stretch). Measured across this ground: 65 answer-key attributes, 0 moved.
# file	stream	rows	ruling that authorises it
GROW_ASDAN/PEQ/PEQ_W1_Knowing_Myself.html	answers	E1	PEQ-E3 master prompt §3 E1 — level framing; the ruling is the named owner authorisation
GROW_ASDAN/PEQ/PEQ_W1_Knowing_Myself.html	witness	E1	PEQ-E3 master prompt §3 E1 — level framing; the ruling is the named owner authorisation
GROW_ASDAN/PEQ/PEQ_W2_Goals_That_Work.html	answers	E1	PEQ-E3 master prompt §3 E1 — level framing; the ruling is the named owner authorisation
GROW_ASDAN/PEQ/PEQ_W2_Goals_That_Work.html	witness	E1	PEQ-E3 master prompt §3 E1 — level framing; the ruling is the named owner authorisation
GROW_ASDAN/PEQ/PEQ_W3_Working_With_Others.html	answers	E1	PEQ-E3 master prompt §3 E1 — level framing; the ruling is the named owner authorisation
GROW_ASDAN/PEQ/PEQ_W3_Working_With_Others.html	witness	E1	PEQ-E3 master prompt §3 E1 — level framing; the ruling is the named owner authorisation
GROW_ASDAN/PEQ/PEQ_W4_Managing_Myself.html	answers	E1	PEQ-E3 master prompt §3 E1 — level framing; the ruling is the named owner authorisation
GROW_ASDAN/PEQ/PEQ_W4_Managing_Myself.html	witness	E1	PEQ-E3 master prompt §3 E1 — level framing; the ruling is the named owner authorisation
GROW_ASDAN/PEQ/PEQ_W5_Solving_Problems.html	answers	E1	PEQ-E3 master prompt §3 E1 — level framing; the ruling is the named owner authorisation
GROW_ASDAN/PEQ/PEQ_W5_Solving_Problems.html	witness	E1	PEQ-E3 master prompt §3 E1 — level framing; the ruling is the named owner authorisation
GROW_ASDAN/PEQ/PEQ_W6_Present_My_Progress.html	answers	E1	PEQ-E3 master prompt §3 E1 — level framing; the ruling is the named owner authorisation
GROW_ASDAN/PEQ/PEQ_W6_Present_My_Progress.html	witness	E1	PEQ-E3 master prompt §3 E1 — level framing; the ruling is the named owner authorisation
LAUNCH_ASDAN/PEQ/PEQ_W1_Intro_and_Choosing_My_Level.html	answers	E1	PEQ-E3 master prompt §3 E1 — level framing; the ruling is the named owner authorisation · PEQ-L2K ruling 2026-08-21 (v2 §3): the L2-route witness tick + ruled banking strings also sit inside these windows (Level tick gains L2; 'never both' -> 'never more than one')
LAUNCH_ASDAN/PEQ/PEQ_W1_Intro_and_Choosing_My_Level.html	witness	E1	PEQ-E3 master prompt §3 E1 — level framing; the ruling is the named owner authorisation · PEQ-L2K ruling 2026-08-21 (v2 §3): the L2-route witness tick + ruled banking strings also sit inside these windows (Level tick gains L2; 'never both' -> 'never more than one')
LAUNCH_ASDAN/PEQ/PEQ_W2_What_Makes_Communication_Effective.html	answers	E1	PEQ-E3 master prompt §3 E1 — level framing; the ruling is the named owner authorisation · PEQ-L2K ruling 2026-08-21 (v2 §3): the L2-route witness tick + ruled banking strings also sit inside these windows (Level tick gains L2; 'never both' -> 'never more than one')
LAUNCH_ASDAN/PEQ/PEQ_W2_What_Makes_Communication_Effective.html	witness	E1	PEQ-E3 master prompt §3 E1 — level framing; the ruling is the named owner authorisation · PEQ-L2K ruling 2026-08-21 (v2 §3): the L2-route witness tick + ruled banking strings also sit inside these windows (Level tick gains L2; 'never both' -> 'never more than one')
LAUNCH_ASDAN/PEQ/PEQ_W3_Active_Listening_and_Giving_Feedback.html	answers	E1	PEQ-E3 master prompt §3 E1 — level framing; the ruling is the named owner authorisation · PEQ-L2K ruling 2026-08-21 (v2 §3): the L2-route witness tick + ruled banking strings also sit inside these windows (Level tick gains L2; 'never both' -> 'never more than one')
LAUNCH_ASDAN/PEQ/PEQ_W3_Active_Listening_and_Giving_Feedback.html	witness	E1	PEQ-E3 master prompt §3 E1 — level framing; the ruling is the named owner authorisation · PEQ-L2K ruling 2026-08-21 (v2 §3): the L2-route witness tick + ruled banking strings also sit inside these windows (Level tick gains L2; 'never both' -> 'never more than one')
LAUNCH_ASDAN/PEQ/PEQ_W4_Plan_a_Communication_Activity.html	witness	E1	PEQ-E3 master prompt §3 E1 — level framing; the ruling is the named owner authorisation · PEQ-L2K ruling 2026-08-21 (v2 §3): the L2-route witness tick + ruled banking strings also sit inside these windows (Level tick gains L2; 'never both' -> 'never more than one')
LAUNCH_ASDAN/PEQ/PEQ_W5_Deliver_the_Activity_and_Gather_Evidence.html	answers	E1	PEQ-E3 master prompt §3 E1 — level framing; the ruling is the named owner authorisation · PEQ-L2K ruling 2026-08-21 (v2 §3): the L2-route witness tick + ruled banking strings also sit inside these windows (Level tick gains L2; 'never both' -> 'never more than one')
LAUNCH_ASDAN/PEQ/PEQ_W5_Deliver_the_Activity_and_Gather_Evidence.html	witness	E1	PEQ-E3 master prompt §3 E1 — level framing; the ruling is the named owner authorisation · PEQ-L2K ruling 2026-08-21 (v2 §3): the L2-route witness tick + ruled banking strings also sit inside these windows (Level tick gains L2; 'never both' -> 'never more than one')
LAUNCH_ASDAN/PEQ/PEQ_W6_Review_Progress_and_Sign_Off_the_Unit.html	witness	E1	PEQ-E3 master prompt §3 E1 — level framing; the ruling is the named owner authorisation · PEQ-L2K ruling 2026-08-21 (v2 §3): the L2-route witness tick + ruled banking strings also sit inside these windows (Level tick gains L2; 'never both' -> 'never more than one')
Art_Teesside/Build/BUILD_ART_A2_W1_Surface_Hunt.html	answers	A-P111	PROP-1 readback ruling 2026-08-20 — discharge A-P111 on the remaining six A2 decks
Art_Teesside/Build/BUILD_ART_A2_W2_Arts_Inspiration.html	answers	A-P111	PROP-1 readback ruling 2026-08-20 — discharge A-P111 on the remaining six A2 decks
Art_Teesside/Build/BUILD_ART_A2_W3_Stencil_Lab.html	answers	A-P111	PROP-1 readback ruling 2026-08-20 — discharge A-P111 on the remaining six A2 decks
Art_Teesside/Build/BUILD_ART_A2_W4_Audience_Week.html	answers	A-P111	PROP-1 readback ruling 2026-08-20 — discharge A-P111 on the remaining six A2 decks
Art_Teesside/Build/BUILD_ART_A2_W5_Layer_and_Combine.html	answers	A-P111	PROP-1 readback ruling 2026-08-20 — discharge A-P111 on the remaining six A2 decks
Art_Teesside/Build/BUILD_ART_A2_W7_Bank_It_and_Plan_the_Teach.html	answers	A-P111	PROP-1 readback ruling 2026-08-20 — discharge A-P111 on the remaining six A2 decks
GROW_ASDAN/Community_Project/GCOMM_W1_Our_Patch_Our_Say.html	answers	E1	PEQ-E3 §3 E1 — PEQ banking line re-anchored to Entry 3
GROW_ASDAN/Community_Project/GCOMM_W1_Our_Patch_Our_Say.html	witness	E1	PEQ-E3 §3 E1 — PEQ banking line re-anchored to Entry 3
GROW_ASDAN/Community_Project/GCOMM_W2_Choose_The_Need.html	answers	E1	PEQ-E3 §3 E1 — PEQ banking line re-anchored to Entry 3
GROW_ASDAN/Community_Project/GCOMM_W2_Choose_The_Need.html	witness	E1	PEQ-E3 §3 E1 — PEQ banking line re-anchored to Entry 3
GROW_ASDAN/Community_Project/GCOMM_W3_Roles_Steps_Resources.html	answers	E1	PEQ-E3 §3 E1 — PEQ banking line re-anchored to Entry 3
GROW_ASDAN/Community_Project/GCOMM_W3_Roles_Steps_Resources.html	witness	E1	PEQ-E3 §3 E1 — PEQ banking line re-anchored to Entry 3
GROW_ASDAN/Community_Project/GCOMM_W4_First_Contact.html	answers	E1	PEQ-E3 §3 E1 — PEQ banking line re-anchored to Entry 3
GROW_ASDAN/Community_Project/GCOMM_W4_First_Contact.html	witness	E1	PEQ-E3 §3 E1 — PEQ banking line re-anchored to Entry 3
GROW_ASDAN/Community_Project/GCOMM_W5_Risk_And_Ready.html	answers	E1	PEQ-E3 §3 E1 — PEQ banking line re-anchored to Entry 3
GROW_ASDAN/Community_Project/GCOMM_W5_Risk_And_Ready.html	witness	E1	PEQ-E3 §3 E1 — PEQ banking line re-anchored to Entry 3
GROW_ASDAN/Community_Project/GCOMM_W6_Green_Light.html	witness	E1	PEQ-E3 §3 E1 — PEQ banking line re-anchored to Entry 3
GROW_ASDAN/Scheme_and_Resources.html	food	E6	PEQ-E3 §3 E6 — accreditation panel re-anchored to the E3-primary route. The protected food-safety sentence is byte-identical; the 400-char window tail reaches 206 chars past the anchor into #peq-facts-panel.
