pathway,week,file,verdict,surface,location,current_text,issue,science_reason,severity,fix_type,proposed_text,lead_ref
BUILD,W3,SCI_B_W3B_Backbone_Detectives_Do.html,WRONG,teacher-doc,"printpack · pp #2 · Assessor Witness Statement · ""Lesson"" table row","<td style=""padding:7px 8px;border:1px solid #999"">Backbones and No Backbones — BUILD Science · Week 3 (40-min route · Do)</td>","The Assessor Witness Statement names this lesson ""Backbones and No Backbones"", which is W3A's title. This file's lesson is ""Backbone Detectives"" (<h1>Backbone Detectives</h1> on the title slide, and 'BUILD Science W3B · Backbone Detectives' as the print-pack heading two lines above the same table). The witness statement is an external-accreditation record (Pearson Entry Level Science 8939 / AQA UAS) — printing both W3A and W3B evidence under the identical lesson name makes the two sessions indistinguishable in a pupil's portfolio.","Not a science error but a records-integrity contradiction between a teacher/assessor document and the lesson it is bound into. W3A's objective is 'sort animals into those with a backbone and those without'; W3B's is 'classify unfamiliar animals using evidence about their body structure'. These are different assessed outcomes, so they must not be witnessed under one title. BUILD_DAILY_REFLECTION_EVIDENCE_WINDOW.html already stores the correct pair (""W3A"": topic ""Backbones and No Backbones"", ""W3B"": topic ""Backbone Detectives""), so the witness row is the only place that disagrees.",medium,MECHANICAL-FIX,"<td style=""padding:7px 8px;border:1px solid #999"">Backbone Detectives — BUILD Science · Week 3 (40-min route · Do)</td>",cross-pathway check 8 (teacher docs must contradict no lesson)
BUILD,W3,SCI_B_W3B_Backbone_Detectives_Do.html,AMBIGUOUS,screen,"slide data-type=""arrival"" · tier Standard · question 1","<b>1 · Last lesson:</b> Classify robin, snail and spider from the Explore lesson.","The stem asserts that robin, snail and spider came ""from the Explore lesson"". Grepping W3A: 'robin' occurs 0 times and 'spider' occurs 0 times; only 'snail' occurs (once, in I Do 2, 'Show a snail shell and a worm diagram'). W3A's named creatures are fish, crab, frog, earthworm, beetle, mouse and snail. A pupil told to recall three animals, two of which were never shown, will read the failure as their own memory failing; a TA following the retrieval script has nothing to point back to.","The classifications themselves are correct (robin = vertebrate; snail and spider = invertebrates), so this is not a science error — it is a false provenance claim inside a retrieval question. The reword keeps the transfer demand (three animals not seen in W3A is good Standard-tier stretch) while dropping the untrue 'from the Explore lesson'. Note the same stem's siblings are sound: Q2 'the fish or the worm' and Stretch Q2 'snail' / Q3 'crab' all name creatures W3A actually used.",low,ONE-LINE-REWORD,"<b>1 · Last lesson:</b> Classify robin, snail and spider using last lesson's backbone rule.",BUILD W3B Arrival retrieval lead (retrieval framing itself is CORRECT; this is a residue defect found while re-deriving it)
BUILD,W3,SCI_B_W3B_Backbone_Detectives_Do.html,AMBIGUOUS,print,"printpack · pp #1 · entry-route line (class=""pentry"")","<p class=""pentry"" style=""margin:0 0 8px;font-size:.92rem""><b>New to this class, or not sure?</b> Everything you need is in the box above — read it, then answer.</p>","Screen/print parity break in the mid-year-joiner route. On screen the sentence sits directly under the retrieval box ('Retrieve the actual previous lesson: W3A — vertebrate = internal backbone; ...'), so ""the box above"" is correct. In the print pack the same sentence is emitted before the Learning objective, the Model caveat and the 'Previous lesson retrieval:' line — so on paper the box it points at is below it, and the top of the sheet has only Name/Date.","Not a science claim, but the wording is the access route for a pupil with no prior lesson, and on the printed surface it directs them to blank space. Same wording, different referent on the two surfaces, which is exactly what the parity rule forbids.",low,MECHANICAL-FIX,"<p class=""pentry"" style=""margin:0 0 8px;font-size:.92rem""><b>New to this class, or not sure?</b> Everything you need is in the retrieval box below — read it, then answer.</p>",cross-pathway check: screen vs print parity
BUILD,W3,SCI_B_W3A_Backbones_Explore.html,AMBIGUOUS,print,"printpack · pp #1 · entry-route line (class=""pentry"")","<p class=""pentry"" style=""margin:0 0 8px;font-size:.92rem""><b>New to this class, or not sure?</b> Everything you need is in the box above — read it, then answer.</p>","Identical parity break to W3B. On screen the line follows the baseline box ('Weeks 1 and 2 were baseline. There is no previous lesson to recall — this is where the teaching starts.'); in the print pack it is emitted before the Learning objective and before that baseline text, so ""the box above"" points at the Name/Date rule.","Not a science claim; it is the joiner-access instruction, and its referent is wrong on the printed surface only. Reported for completeness because the fix should be applied to both W3 files in one pass.",low,MECHANICAL-FIX,"<p class=""pentry"" style=""margin:0 0 8px;font-size:.92rem""><b>New to this class, or not sure?</b> Everything you need is in the box below — read it, then answer.</p>",cross-pathway check: screen vs print parity
BUILD,W3,SCI_B_W3B_Backbone_Detectives_Do.html,AMBIGUOUS,teacher-doc,"printpack · pp #2 · Assessor Witness Statement · ""Observed in this lesson"" · first checkbox","<p style=""margin:0 0 5px"">☐ Located the backbone on a diagram unaided.</p>","The three observation checkboxes in W3B are byte-identical to W3A's. Checkbox 1 ('Located the backbone on a diagram unaided') is W3A success criterion 1; W3B never asks a pupil to locate a backbone on a diagram — its criteria are 'Use the backbone test rather than appearance', 'Classify a range of familiar and unfamiliar animals', 'Explain or demonstrate the evidence behind one decision'. Checkbox 3 ('Gave a reason using the word because') is likewise W3A's Standard stem; W3B says 'Justify each choice' / 'two reasons' and never uses 'because'.","Science is fine either way. The defect is that the assessor is asked to witness an outcome the lesson does not generate, so the W3B evidence record cannot capture what W3B actually assesses (transfer to unfamiliar creatures, and rejection of appearance as a valid test). Flagged PROPOSED rather than MECHANICAL because the owner may deliberately reuse one checkbox set across the week; if so, checkbox 1 should still be the one that changes.",low,PROPOSED,"<p style=""margin:0 0 5px"">☐ Classified an unfamiliar animal using structural evidence, not appearance.</p>",cross-pathway check 8 (teacher docs must contradict no lesson)
BUILD,W3,BUILD_SCIENCE_PRACTICALS_MATRIX.html,AMBIGUOUS,teacher-doc,"Practicals matrix · rows W3A and W3B · ""Digital alternative"" cell","<td data-l=""Digital"">On-screen Creature scanner in the lesson’s We Do 2 slide.</td>","The matrix names the digital alternative a ""Creature scanner"". Neither lesson contains anything called a scanner on any teaching surface — the We Do 2 widget in both files is '<h3>🔎 Creature Evidence Lab</h3>', a four-card evidence sort with two group buttons ('Every control is a button — no dragging'). A scan() function does survive in the shared script block of both files, but it is orphaned: no element with id 'animal-…'/'spine-…'/'shell-…' exists in either file, so the function can never be reached from the UI. A teacher preparing the no-equipment route from the matrix is looking for a control that is not on screen.","No science claim is affected — the Evidence Lab is scientifically clean (snake→vertebrate, snail→invertebrate, mouse→vertebrate, beetle→invertebrate in W3B; fish/frog→vertebrate, crab/earthworm→invertebrate in W3A). This is a doc-to-lesson naming contradiction that costs setup time on the access route, which is the route the matrix exists to protect.",low,PROPOSED,"<td data-l=""Digital"">On-screen Creature Evidence Lab in the lesson’s We Do 2 slide.</td>",cross-pathway check 8; analogue of the GROW W7B matrix-vs-lesson lead
BUILD,W4,SCI_B_W4A_Muscles_Explore.html,WRONG,both,"independent slide (data-type=""independent"") → .practical → .pr-cell ""Equipment""; the matching safety sentence is repeated in the aside id=""media""",Cardboard arm models; split pins; elastic bands/string; biceps/triceps labels; pre-assembled models; projector model.,"The lesson issues ELASTIC BANDS as equipment and its safety cell says ""Elastic bands stay controlled and away from faces."" The governing teacher safety document forbids elastic outright for this same practical: BUILD_SCIENCE_PRACTICALS_MATRIX.html row W4A lists equipment as ""two lengths of string or yarn"" and its Safety column reads ""Blunt pre-cut card and pre-secured fasteners only. Keep strings short and away from neck and face. No stretched elastic."" (identical row in BUILD_SCIENCE_PRACTICALS_MATRIX_PROGRESS_SCHOOLS.html). A band that drives a model arm is necessarily stretched, so the two live documents give opposite instructions to staff. Cross-pathway check 8 (teacher docs must contradict no lesson) fails here.","Not a science error in itself — a direct safety-instruction contradiction between the lesson and the practicals matrix for the same practical. The model works identically with inextensible string (the science point is that a flexible tie can only pull), so nothing scientific is lost by removing elastic; the owner must rule which document is authoritative.",high,PROPOSED,Cardboard arm models; split pins; string or yarn; biceps/triceps labels; pre-assembled models; projector model.,none — surfaced by cross-pathway check 8
BUILD,W4,SCI_B_W4B_Muscle_Model_Do.html,WRONG,both,"independent slide (data-type=""independent"") → .practical → .pr-cell ""Equipment""; the matching safety sentence is repeated in the aside id=""media""",Cardboard arm kit; split pins; string/elastic; labels; scissors if locally approved; pre-assembled spares; tablet/camera if authorised.,"Same contradiction as W4A. This lesson issues ""string/elastic"" and its safety cell says ""Elastic/string remains low tension."", while BUILD_SCIENCE_PRACTICALS_MATRIX.html row W4B lists equipment as ""two strings"" and its Safety column reads ""As W4A: short strings, no elastic snap risk, damaged parts replaced by an adult."" — i.e. elastic is excluded. The same matrix row also states ""Adult pre-punches and secures every fastener"" and imports W4A's ""Blunt pre-cut card and pre-secured fasteners only"", which sits awkwardly against the lesson's ""scissors if locally approved"" (the lesson does hedge this with ""Adult manages sharp tools if used"", so the scissors clash is weaker than the elastic one).","Safety-instruction contradiction between the lesson and the practicals matrix, not a science error. Removing elastic costs nothing scientifically: the pull-only/antagonistic-pair point is carried by any inextensible tie.",high,PROPOSED,Cardboard arm kit; split pins; string or yarn; labels; scissors if locally approved; pre-assembled spares; tablet/camera if authorised.,none — surfaced by cross-pathway check 8
BUILD,W4,SCI_B_W4A_Muscles_Explore.html,WRONG,print,".printpack → first .pp → p.pentry (the ""new to this class"" entry route). Byte-identical line in SCI_B_W4B_Muscle_Model_Do.html.","<p class=""pentry"" style=""margin:0 0 8px;font-size:.92rem""><b>New to this class, or not sure?</b> Everything you need is in the box above — read it, then answer.</p>","Screen/print parity break in the entry route for pupils new to the class. On screen the sentence sits INSIDE div.entry-route, which is placed directly BELOW the retrieval box (div.box.scaf), so ""the box above"" is accurate. In the print pack the same sentence is emitted as the third element on the page — after the h1 and the Name/Date line, but BEFORE ""Learning objective"", ""Model"" and ""Previous lesson retrieval"". On paper there is nothing above it, and the retrieval content it points to is three paragraphs below. A pupil handed the printed sheet is directed to a box that does not exist there.","Not a science error — a surface-parity/instruction defect. It disables the one scaffold the pack provides for pupils with no prior lesson, which is the access route this design depends on.",medium,MECHANICAL-FIX,"<p class=""pentry"" style=""margin:0 0 8px;font-size:.92rem""><b>New to this class, or not sure?</b> Everything you need is in the <b>Previous lesson retrieval</b> box below — read it, then answer.</p>",none — surfaced by the screen-vs-print parity check
BUILD,W4,SCI_B_W4B_Muscle_Model_Do.html,AMBIGUOUS,both,"arrival slide (data-type=""arrival"") → div.box.scaf; repeated verbatim in .printpack as ""Previous lesson retrieval""","W4A — muscles can only pull; biceps/triceps take turns contracting and relaxing. When the arm bends, the biceps (the top band) contracts and the triceps relaxes.","The retrieval box is scientifically correct and correctly retrieves W4A (question 1 at all three tiers), but the adjacent entry route promises ""Everything you need is in the box above — read it, then answer."" and arrival questions 2 and 3 at Standard and Stretch reach back to Week 3, which this box says nothing about: ""2 · Last week: Name one vertebrate and one invertebrate."", ""3 · Week 3 again: Say one way an animal with no backbone is supported."", ""2 · Last week: Give the rule that separates vertebrates from invertebrates."", ""3 · Week 3 again: Explain why size is not the test for a vertebrate."" A pupil who is genuinely ""new to this class, or not sure"" cannot answer those from the box, so the promise is false for four of the twelve arrival prompts.","No false science. The defect is that the stated access route does not cover the week-3 half of the retrieval, and W4's own arrival note (""W4 has one prior taught week, so question 3 retrieves week 3 a second time"") makes the week-3 questions a permanent feature, not an accident.",low,PROPOSED,"W4A — muscles can only pull; biceps/triceps take turns contracting and relaxing. When the arm bends, the biceps (the top band) contracts and the triceps relaxes. From W3: a vertebrate has a backbone inside; an invertebrate has none and is held up by a hard outer case or by fluid.","extension of the BUILD W3B arrival-framing lead (retrieval, not baseline) — the framing here is correct; only the box's coverage is short"
