file,slide,tier,surface,fk,inband,stem
GROW__SCI_G_W3A_Friction_Explore.html,arrival,Supported,screen,4.0,True,Point to something here that would be hard to slide along the floor.
GROW__SCI_G_W3A_Friction_Explore.html,arrival,Supported,screen,2.8,False,"Point or say: which is easier to walk on, wet ice or a dry path?"
GROW__SCI_G_W3A_Friction_Explore.html,arrival,Supported,screen,3.8,True,Show with your hands what happens when you rub them together fast.
GROW__SCI_G_W3A_Friction_Explore.html,arrival,Supported,screen,-0.6,False,Look at the two soles. Point to the one that grips.
GROW__SCI_G_W3A_Friction_Explore.html,arrival,Standard,screen,0.4,False,Name one thing that is hard to push along the floor. Say why you think it is hard.
GROW__SCI_G_W3A_Friction_Explore.html,arrival,Standard,screen,1.6,False,"Which is easier to walk on, wet ice or a dry path? Say what makes the difference."
GROW__SCI_G_W3A_Friction_Explore.html,arrival,Standard,screen,1.7,False,Rub your hands together. Say what you can feel changing.
GROW__SCI_G_W3A_Friction_Explore.html,arrival,Standard,screen,0.8,False,Trainers have patterned soles. An ice rink is kept smooth. Both are on purpose. Why?
GROW__SCI_G_W3A_Friction_Explore.html,arrival,Stretch,screen,9.7,False,Name one everyday job that would be impossible if nothing gripped anything.
GROW__SCI_G_W3A_Friction_Explore.html,arrival,Stretch,screen,1.5,False,The same shoes feel different on ice and on a dry path. Explain why.
GROW__SCI_G_W3A_Friction_Explore.html,arrival,Stretch,screen,-0.7,False,Your hands warm up when you rub them. Where do you think that heat comes from?
GROW__SCI_G_W3A_Friction_Explore.html,arrival,Stretch,screen,1.5,False,"Trainers grip and ice rinks slide, both by design. What is being controlled in each case?"
GROW__SCI_G_W3A_Friction_Explore.html,arrival,,screen,4.0,True,Point to something here that would be hard to slide along the floor.
GROW__SCI_G_W3A_Friction_Explore.html,arrival,,screen,2.8,False,"Point or say: which is easier to walk on, wet ice or a dry path?"
GROW__SCI_G_W3A_Friction_Explore.html,arrival,,screen,3.8,True,Show with your hands what happens when you rub them together fast.
GROW__SCI_G_W3A_Friction_Explore.html,arrival,,screen,-0.6,False,Look at the two soles. Point to the one that grips.
GROW__SCI_G_W3A_Friction_Explore.html,arrival,,screen,0.4,False,Name one thing that is hard to push along the floor. Say why you think it is hard.
GROW__SCI_G_W3A_Friction_Explore.html,arrival,,screen,1.6,False,"Which is easier to walk on, wet ice or a dry path? Say what makes the difference."
GROW__SCI_G_W3A_Friction_Explore.html,arrival,,screen,1.7,False,Rub your hands together. Say what you can feel changing.
GROW__SCI_G_W3A_Friction_Explore.html,arrival,,screen,0.8,False,Trainers have patterned soles. An ice rink is kept smooth. Both are on purpose. Why?
GROW__SCI_G_W3A_Friction_Explore.html,arrival,,screen,9.7,False,Name one everyday job that would be impossible if nothing gripped anything.
GROW__SCI_G_W3A_Friction_Explore.html,arrival,,screen,1.5,False,The same shoes feel different on ice and on a dry path. Explain why.
GROW__SCI_G_W3A_Friction_Explore.html,arrival,,screen,-0.7,False,Your hands warm up when you rub them. Where do you think that heat comes from?
GROW__SCI_G_W3A_Friction_Explore.html,arrival,,screen,1.5,False,"Trainers grip and ice rinks slide, both by design. What is being controlled in each case?"
GROW__SCI_G_W3A_Friction_Explore.html,starter,,screen,6.9,True,Why do trainers have patterned soles while an ice rink is deliberately smooth? Make a prediction — no science word is required yet.
GROW__SCI_G_W3A_Friction_Explore.html,independent,,screen,2.0,False,"Friction detective. Choose one real object, or a picture of one. You could pick a trainer, a tyre, a brake, a door handle or an engine part. Any other approved "
GROW__SCI_G_W3A_Friction_Explore.html,independent,,screen,2.6,False,◆ Use a labelled picture and the word bank. Add arrows to it. Then finish this line: ‘Friction helps because…’. 🧰 Open scaffold Word bank: friction · surface · 
GROW__SCI_G_W3A_Friction_Explore.html,independent,,screen,4.8,True,▲ Label two contact surfaces. Explain one helpful effect. Then explain one unhelpful effect. 🧰 Open scaffold Prompt card: surfaces → direction of friction → eff
GROW__SCI_G_W3A_Friction_Explore.html,independent,,screen,2.3,False,★ Find one place where a designer would add friction. Find one place to cut it. Give a science reason for each. 🧰 Open scaffold Add a design trade-off. What get
