pathway,week,title,file,concept,enquiry,current_ticket,elicited,interpret,bounded_voice,audience,influence,next_step,tutor,boundary,award,priority
BUILD,1,The Big Timeline,Build/Slideshows/BUILD_HUM_W1_Human_Timeline.html,"Chronology, dating clues and anachronism",How can clues help us place local events in a defensible chronological order?,My clue; my claim about when it belongs; a limitation; what I want to investigate next.,"Ordered events, one dating clue, a century/range decision and any uncertainty.","Distinguish secure chronology from a century misconception, an access barrier or weak clue use.",Choose a locally relevant approved period or event for the next source set; a neutral local/general route must be available instead of family disclosure.,"A named adult or peer restates the event, the clue and the uncertainty before responding.",The teacher selects or foregrounds an approved source from the chosen period and reports that choice at the next arrival.,Secure: unfamiliar event. Mixed: contrast two clues. Misconception: re-model century/range. Access: physical timeline or oral/scribed route.,BUILD lesson closure remains adult-received. Tutor time may collate the existing sheet only after subject approval; no extra closure line.,Do not treat a corridor display as Audience by itself. Do not require family history disclosure.,Map only to the exact selected UAS outcome and required evidence; the ticket alone is not unit completion.,High
BUILD,2,History Detectives,Build/Slideshows/BUILD_HUM_W2_History_Detectives.html,"Source content, inference and limits",How can we distinguish what a source shows from what we infer or still cannot know?,The source shows; I infer; I still cannot know; the source type I trust or question.,"A source observation, an inference tied to a detail and an explicit limit.",Read whether the pupil separates source content from inference and whether the limit is question-specific.,Choose which approved source type should be added to answer the unresolved question.,Receiver uses the three-part restatement: 'You noticed… you inferred… you still cannot know…'.,The next lesson includes the chosen approved source type or the teacher explains why another source was needed.,Secure: corroborating source. Mixed: compare observation vs inference. Misconception: re-model 'source is evidence for a question'. Access: enlarged/audio/transcribed source.,Existing item may be selected and captioned in exact pupil words only after subject approval; no retrospective inference is written by a tutor.,Constructed sources must be visibly labelled; provenance and rights must be available.,Offer candidate evidence only where the exact UAS outcome accepts this method and the source pack is approved.,Specimen
BUILD,3,Why People Came,Build/Slideshows/BUILD_HUM_W3_Why_People_Came.html,Multi-causality,How can several causes combine to influence migration to the Tees Valley?,Two causes; the cause I think mattered most; because.,At least two causes and a reasoned weighting.,Check whether the pupil explains combination rather than lists causes or assumes the nearest event is most important.,Choose which approved person/community case should illustrate the strongest causal chain next.,Adult receives the causal chain and asks only for the link between cause and outcome.,"The selected approved case becomes a worked example or comparison in Week 4, with report-back.",Secure: counterfactual. Mixed: connect two causes. Misconception: model condition/trigger. Access: cause cards and oral chain.,Collate the existing chain/photo; no tutor-generated 'because' clause.,Preference does not decide historical importance; evidence and criteria remain non-negotiable.,Exact UAS outcome/evidence method required before filing as candidate evidence.,High
BUILD,4,People Who Shaped Britain,Build/Slideshows/BUILD_HUM_W4_People_Who_Shaped_Britain.html,"Agency, context and avoiding a single story",How can evidence show why a person or community matters without reducing them to one story?,Person/community; why they matter; evidence; how I avoided reducing them.,An evidence-based agency claim plus contextual complexity.,"Check whether the claim is evidenced, whether context is present and whether a group is stereotyped.","Nominate from an approved evidence set and state the criterion, not popularity alone.","A peer or adult restates claim, evidence and the avoided simplification.",Evidence-led nominations shape the comparison set for significance in Week 5.,Secure: add context/counterevidence. Mixed: evidence-to-claim link. Misconception: re-model agency vs fame. Access: visual evidence grid.,Existing nomination/evidence may be filed; no new biography or stereotype correction is authored in tutor time.,"Use respectful, plural accounts; no pupil is required to represent a community.",Unit alignment must be exact; nomination/vote alone is not evidence of an outcome.,Medium
BUILD,5,Big Deal or Small Deal?,Build/Slideshows/BUILD_HUM_W5_Big_Deal.html,Historical significance by criteria,How can we judge significance using criteria rather than fame or personal liking?,Big/small deal; affected whom; for how long; what changed; possible disagreement.,"A significance judgement using impact, reach, duration or remembrance and a challenge.","Distinguish criterion-based significance from fame, liking or presentism.",Choose the criterion to foreground and explain why it fits the enquiry.,"Receiver restates judgement, criterion and disagreement before commenting.",Judgements set the focus and argument offered in the Week 6 storyboard.,Secure: change timescale/perspective. Mixed: compare criteria. Misconception: model significance is question-dependent. Access: criteria cards.,One existing significance item may be collated; no new judgement is supplied.,Do not rank pupils or communities; challenge ideas with evidence.,A criterion-based judgement may be candidate evidence only against the exact outcome.,Medium
BUILD,6,Plan the Story,Build/Slideshows/BUILD_HUM_W6_Plan_The_Story.html,"Sequence, evidence and explanation in an account","How can sequence, evidence and explanation turn facts into a coherent account?",First/then; key evidence; explanation linking them.,"A sequence controlled by a claim, evidence selection and an explanatory link.","Check whether the plan is a list, a story without evidence or a coherent historical account.",Choose communication mode and audience from viable options; name the support that preserves authorship.,Teacher/TA reads back the planned claim and sequence without improving it.,Communication preferences and gaps determine the Week 7 route and approved support.,Secure: transfer to another event. Mixed: add link. Misconception: re-model chronology vs causation. Access: storyboard/scribe/exact read-back.,May organise existing pages in order; must not improve the plan or add content.,Support and authorship must be distinguishable.,The plan is curriculum work unless the exact UAS outcome recognises it.,High
BUILD,7,Tell the Story,Build/Slideshows/BUILD_HUM_W7_Tell_The_Story.html,Communicating an evidential account to an audience,"How can I communicate a historical account so an audience understands claim, evidence and uncertainty?",Mode used; what the audience received; what they questioned or valued.,A communicated account plus evidence of audience reception and one response.,"Check whether the audience understood the claim/evidence, not merely whether a presentation occurred.","Choose speaking, writing, drawing or recording and consent to any display.","Named person listens/reads and restates claim, evidence and uncertainty.",Audience responses and recommendations shape Week 8 map emphasis and future provision.,Secure: adapt for another audience. Mixed: clarify claim. Misconception: separate fact and inference. Access: alternative mode.,"May collate a subject-approved recording, image or sheet; no audience is invented retrospectively.","Use representative work, not 'best work'; obtain consent and avoid face capture where unnecessary.",Performance evidence needs exact outcome mapping and authentic reception evidence.,High
BUILD,8,Where in the World?,Build/Slideshows/BUILD_HUM_W8_Where_In_The_World.html,"Mapping migration, spatial connection and curriculum influence","How does mapping movement change our understanding of migration, connection and identity?",Route mapped; recommendation; named adult; report-back date.,"A mapped route, one geographical/historical insight and a bounded recommendation.","Check map accuracy, what geography adds and whether the recommendation is actionable.",Choose one resource/curriculum/cultural recommendation within the decision-maker's power.,Named adult with authority receives the recommendation and its evidence.,"Adult acts or explains why not, with a report-back date.",Secure: change scale or compare route. Mixed: re-read map. Method problem: repair grid/scale. Access: enlarged tactile/colour-safe map.,May help collate the approved map and recommendation; report-back is not a pupil assessment tally.,Map licence and credits required. No promise should be offered unless an adult can act.,"Map/recommendation evidence must match the exact UAS outcome; report-back is participation evidence, not automatic award evidence.",High
GROW,1,Time Detectives,Grow/Slideshows/GROW_HUM_W1_Time_Detectives.html,"Chronology, intervals and challenging a timeline","How can dates, periods and intervals help us build and challenge chronology?",Chronology claim; because; what would increase certainty; challenge.,"A defensible ordering, interval reasoning and a challenge/uncertainty.",Read whether the pupil uses chronological evidence rather than surface familiarity.,Choose which approved chronology puzzle or period needs further source support.,"Peer restates claim, evidence and uncertainty; adult listens for the historical move.",Misconceptions/questions set Week 2 date supports and source set.,Secure: unfamiliar chronology. Mixed: contrast intervals. Misconception: re-model century/period. Access: physical line.,Optional pupil re-read of the existing written close; no adult initial and no new next step.,No catch-up debt if tutor slot missed.,Exact UAS mapping required.,Medium
GROW,2,Source Detectives,Grow/Slideshows/GROW_HUM_W2_Source_Detectives.html,"Provenance, content, context and source limits","How do provenance, content and context affect what a source tells, suggests or cannot prove?",Provenance; strong for; weak for; cannot prove.,Question-specific evaluation of a source's evidential value.,"Check for 'biased therefore useless', generic reliability language or unsupported inference.",Choose the unanswered question and the type of corroborating source from an approved pack.,"Receiver restates enquiry, source detail, strength and limit.",Source challenges determine corroboration and causal claims in Week 3.,Secure: conflicting source. Mixed: strength/limit comparison. Misconception: source-as-evidence for a question. Access: transcript/audio/crop.,Read existing line beside work/next step only; no source evaluation added by tutor.,Provenance label and constructed-source status mandatory.,Candidate evidence only if the exact outcome accepts the evidence form.,High
