pathway,week,sheet,cell,sow_text,verdict,evidence
BUILD,W3,BUILD Weekly - Autumn,C34,Compare animals with and without a backbone (vertebrates and invertebrates).,ALIGNED,4/4 keywords present; missing=[]
BUILD,W4,BUILD Weekly - Autumn,C35,Explain how muscles work in pairs with bones to make the body move.,ALIGNED,5/5 keywords present; missing=[]
BUILD,W5,BUILD Weekly - Autumn,C36,Identify that humans and animals need the right types and amount of nutrition.,ALIGNED,4/4 keywords present; missing=[]
BUILD,W6,BUILD Weekly - Autumn,C37,Sort foods into groups and describe a balanced diet (links PSHE / Foodwise).,ALIGNED,4/4 keywords present; missing=[]
BUILD,W7,BUILD Weekly - Autumn,C38,Explain that animals cannot make their own food; they get it from what they eat.,ALIGNED,4/4 keywords present; missing=[]
GROW,W3,GROW Weekly - Autumn,C34,Explore friction and how it can be helpful or unhelpful.,ALIGNED,4/4 keywords present; missing=[]
GROW,W4,GROW Weekly - Autumn,C35,"Investigate mechanisms: levers, pulleys and gears.",ALIGNED,4/4 keywords present; missing=[]
GROW,W5,GROW Weekly - Autumn,C36,Plan and carry out a fair test about forces; record results.,ALIGNED,4/4 keywords present; missing=[]
GROW,W6,GROW Weekly - Autumn,C37,Describe the movement of the Earth and other planets around the Sun.,ALIGNED,4/4 keywords present; missing=[]
GROW,W7,GROW Weekly - Autumn,C38,Describe the movement of the Moon around the Earth.,ALIGNED,4/4 keywords present; missing=[]
LAUNCH,W3,LAUNCH Weekly - Autumn,C34,Calculate magnification (links Maths; record in spreadsheet).,ALIGNED,4/4 keywords present; missing=[]
LAUNCH,W4,LAUNCH Weekly - Autumn,C35,Explain diffusion.,ALIGNED,4/4 keywords present; missing=[]
LAUNCH,W5,LAUNCH Weekly - Autumn,C36,Explain osmosis (core practical; data-logging).,ALIGNED,4/4 keywords present; missing=[]
LAUNCH,W6,LAUNCH Weekly - Autumn,C37,Explain active transport.,ALIGNED,4/4 keywords present; missing=[]
LAUNCH,W7,LAUNCH Weekly - Autumn,C38,Topic 1 review & exam-style questions.,ALIGNED,4/4 keywords present; missing=[]
