pathway,file,slide,tier,surface,qnum,stem,encoded_answer,verdict,disposition
BUILD,SCI_B_W3A_Backbones_Explore.html,arrival,Supported,screen,1,What you know: Point to the backbone on the skeleton picture.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,arrival,Supported,screen,2,Animals you know: Point to an animal card you know.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,arrival,Supported,screen,3,Think about it: Point to a hard animal. Point to a soft animal.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,arrival,Supported,screen,4,Lead-in: Look at the crab picture. Point to its hard outside.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,arrival,Standard,screen,1,What you know: Name two bones you already know. Then point to the backbone.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,arrival,Standard,screen,2,Animals you know: Name an animal you think has bones inside. Say how you know.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,arrival,Standard,screen,3,Think about it: Say one thing a skeleton does.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,arrival,Standard,screen,4,Lead-in: A crab feels hard outside. Say one thing you notice about that.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,arrival,Stretch,screen,1,What you know: What do you already know about what a skeleton does?,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,arrival,Stretch,screen,2,Animals you know: Which animals do you think have bones inside? Why?,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,arrival,Stretch,screen,3,Think about it: What might hold up an animal with no bones? Say your idea.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,arrival,Stretch,screen,4,Lead-in: A crab is hard outside. A worm is soft. What questions does that give you?,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,arrival,,screen,1,What you know: Point to the backbone on the skeleton picture.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,arrival,,screen,2,Animals you know: Point to an animal card you know.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,arrival,,screen,3,Think about it: Point to a hard animal. Point to a soft animal.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,arrival,,screen,4,Lead-in: Look at the crab picture. Point to its hard outside.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,arrival,,screen,1,What you know: Name two bones you already know. Then point to the backbone.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,arrival,,screen,2,Animals you know: Name an animal you think has bones inside. Say how you know.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,arrival,,screen,3,Think about it: Say one thing a skeleton does.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,arrival,,screen,4,Lead-in: A crab feels hard outside. Say one thing you notice about that.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,arrival,,screen,1,What you know: What do you already know about what a skeleton does?,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,arrival,,screen,2,Animals you know: Which animals do you think have bones inside? Why?,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,arrival,,screen,3,Think about it: What might hold up an animal with no bones? Say your idea.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,arrival,,screen,4,Lead-in: A crab is hard outside. A worm is soft. What questions does that give you?,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,starter,,screen,,"A crab can feel hard and protected, but it has no bones inside. How can that be? Choose a hypothesis before we reveal the inside.",,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,independent,,screen,,Creature X-Ray case file. Sort the eight animal cards. Make two groups. Then pick one animal. Prove its classification. Your evidence is body parts you can see.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,independent,,screen,,◆ Use the BACKBONE mat. Use the NO BACKBONE mat. Sort your cards. Two anchor cards help. 🧰 Scaffold Anchor cards. A fish has an internal backbone. A crab’s hard case is outside. Word bank: backbone · inside · outside · hard · support. Fade it: remove the first prompt no longer needed.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,independent,,screen,,▲ Sort all eight animals. Then pick one. Write one ‘because’ sentence. It must prove your choice. 🧰 Scaffold Sentence stem. ‘The ___ is a ___ because I can see ___’. Or swap in ‘cannot’. Fade it: remove the first prompt no longer needed.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,independent,,screen,,★ Sort them all. Justify two choices. An invertebrate has no backbone. Explain what holds it up. 🧰 Scaffold Add a counterexample. Pick a big animal. Pick a small one. Size is not a valid classification test. Nor is fur. Fade it: remove the first prompt no longer needed.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,exit,Supported,screen,,Circle the vertebrate: worm / cat.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,exit,Standard,screen,,Name one vertebrate and one invertebrate and give the test you used.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,exit,Stretch,screen,,Explain how an animal can be supported even without an internal backbone.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,exit,,screen,,Circle the vertebrate: worm / cat.,,CORRECT,
BUILD,SCI_B_W3A_Backbones_Explore.html,exit,,screen,,Name one vertebrate and one invertebrate and give the test you used.,,CORRECT,
