"id","filename","visible_term_week","continuation_week","strand","canonical_outcome","week_cell","outcome_cell","inherited_mapping_ref","inherited_mapping","inherited_evidence_ref","inherited_evidence","qualification_status"
"BUILD_A2_PFA_W1","BUILD_ASDAN_A2_PFA_W1_Plan_a_Simple_Healthy_Snack.html","Autumn 2 · Week 1","Estate sequence W9","PfA: Independent Living, Careers & Vocational (ASDAN)","Plan a simple healthy snack.","'BUILD Weekly - Autumn'!B137","'BUILD Weekly - Autumn'!C137","'BUILD Weekly - Autumn'!D130","ASDAN Living Independently / Foodwise (Entry) · PfA · AQA UAS.","'BUILD Weekly - Autumn'!F130","ASDAN short-course evidence; AQA UAS 'Looking after myself', 'Household tasks' (unit unconfirmed — centre record). F: task observation. S: independence portfolio start (Dec).","Teaching/rehearsal · potential evidence: assessor review required."
"BUILD_A2_PFA_W2","BUILD_ASDAN_A2_PFA_W2_Wash_Up_and_Clean_Up.html","Autumn 2 · Week 2","Estate sequence W10","PfA: Independent Living, Careers & Vocational (ASDAN)","Wash up / clean up after an activity.","'BUILD Weekly - Autumn'!B138","'BUILD Weekly - Autumn'!C138","'BUILD Weekly - Autumn'!D130","ASDAN Living Independently / Foodwise (Entry) · PfA · AQA UAS.","'BUILD Weekly - Autumn'!F130","ASDAN short-course evidence; AQA UAS 'Looking after myself', 'Household tasks' (unit unconfirmed — centre record). F: task observation. S: independence portfolio start (Dec).","Teaching/rehearsal · potential evidence: assessor review required."
"BUILD_A2_PFA_W3","BUILD_ASDAN_A2_PFA_W3_Follow_a_Two_Step_Recipe.html","Autumn 2 · Week 3","Estate sequence W11","PfA: Independent Living, Careers & Vocational (ASDAN)","Follow a 2-step recipe with support.","'BUILD Weekly - Autumn'!B139","'BUILD Weekly - Autumn'!C139","'BUILD Weekly - Autumn'!D130","ASDAN Living Independently / Foodwise (Entry) · PfA · AQA UAS.","'BUILD Weekly - Autumn'!F130","ASDAN short-course evidence; AQA UAS 'Looking after myself', 'Household tasks' (unit unconfirmed — centre record). F: task observation. S: independence portfolio start (Dec).","Teaching/rehearsal · potential evidence: assessor review required."
"BUILD_A2_PFA_W4","BUILD_ASDAN_A2_PFA_W4_Recognise_Jobs_People_Do.html","Autumn 2 · Week 4","Estate sequence W12","PfA: Independent Living, Careers & Vocational (ASDAN)","Recognise jobs people do (links Careers).","'BUILD Weekly - Autumn'!B140","'BUILD Weekly - Autumn'!C140","'BUILD Weekly - Autumn'!D130","ASDAN Living Independently / Foodwise (Entry) · PfA · AQA UAS.","'BUILD Weekly - Autumn'!F130","ASDAN short-course evidence; AQA UAS 'Looking after myself', 'Household tasks' (unit unconfirmed — centre record). F: task observation. S: independence portfolio start (Dec).","Teaching/rehearsal · potential evidence: assessor review required."
"BUILD_A2_PFA_W5","BUILD_ASDAN_A2_PFA_W5_Take_Responsibility_for_a_Class_Job.html","Autumn 2 · Week 5","Estate sequence W13","PfA: Independent Living, Careers & Vocational (ASDAN)","Take responsibility for a class job.","'BUILD Weekly - Autumn'!B141","'BUILD Weekly - Autumn'!C141","'BUILD Weekly - Autumn'!D130","ASDAN Living Independently / Foodwise (Entry) · PfA · AQA UAS.","'BUILD Weekly - Autumn'!F130","ASDAN short-course evidence; AQA UAS 'Looking after myself', 'Household tasks' (unit unconfirmed — centre record). F: task observation. S: independence portfolio start (Dec).","Teaching/rehearsal · potential evidence: assessor review required."
"BUILD_A2_PFA_W6","BUILD_ASDAN_A2_PFA_W6_Prepare_a_Seasonal_Item.html","Autumn 2 · Week 6","Estate sequence W14","PfA: Independent Living, Careers & Vocational (ASDAN)","Prepare a seasonal food/craft item.","'BUILD Weekly - Autumn'!B142","'BUILD Weekly - Autumn'!C142","'BUILD Weekly - Autumn'!D130","ASDAN Living Independently / Foodwise (Entry) · PfA · AQA UAS.","'BUILD Weekly - Autumn'!F130","ASDAN short-course evidence; AQA UAS 'Looking after myself', 'Household tasks' (unit unconfirmed — centre record). F: task observation. S: independence portfolio start (Dec).","Teaching/rehearsal · potential evidence: assessor review required."
"BUILD_A2_DUKE_W1","BUILD_ASDAN_A2_DUKE_W1_Plan_a_Community_Social_Action_Project.html","Autumn 2 · Week 1","Estate sequence W9","Enrichment Award: Junior/Young Duke + Community & Social Enterprise","Plan a class community/social-action project (Anti-Bullying/Kindness).","'BUILD Weekly - Autumn'!B151","'BUILD Weekly - Autumn'!C151","'BUILD Weekly - Autumn'!D144","Junior/Young Duke (Capable Kids) challenge levels · Community & Social Enterprise · AQA UAS.","'BUILD Weekly - Autumn'!F144","Junior/Young Duke level evidence; AQA UAS 'Personal challenge' (unit unconfirmed — centre record). F: challenge log. S: Duke challenges signed off + community launch (Dec).","Teaching/rehearsal · potential evidence: assessor review required."
"BUILD_A2_DUKE_W2","BUILD_ASDAN_A2_DUKE_W2_Decide_Our_Project_Goal_and_Roles.html","Autumn 2 · Week 2","Estate sequence W10","Enrichment Award: Junior/Young Duke + Community & Social Enterprise","Decide our project goal and roles.","'BUILD Weekly - Autumn'!B152","'BUILD Weekly - Autumn'!C152","'BUILD Weekly - Autumn'!D144","Junior/Young Duke (Capable Kids) challenge levels · Community & Social Enterprise · AQA UAS.","'BUILD Weekly - Autumn'!F144","Junior/Young Duke level evidence; AQA UAS 'Personal challenge' (unit unconfirmed — centre record). F: challenge log. S: Duke challenges signed off + community launch (Dec).","Teaching/rehearsal · potential evidence: assessor review required."
"BUILD_A2_DUKE_W3","BUILD_ASDAN_A2_DUKE_W3_Carry_Out_a_Community_Kindness_Action.html","Autumn 2 · Week 3","Estate sequence W11","Enrichment Award: Junior/Young Duke + Community & Social Enterprise","Carry out a community/kindness action.","'BUILD Weekly - Autumn'!B153","'BUILD Weekly - Autumn'!C153","'BUILD Weekly - Autumn'!D144","Junior/Young Duke (Capable Kids) challenge levels · Community & Social Enterprise · AQA UAS.","'BUILD Weekly - Autumn'!F144","Junior/Young Duke level evidence; AQA UAS 'Personal challenge' (unit unconfirmed — centre record). F: challenge log. S: Duke challenges signed off + community launch (Dec).","Teaching/rehearsal · potential evidence: assessor review required."
"BUILD_A2_DUKE_W4","BUILD_ASDAN_A2_DUKE_W4_Complete_a_Creative_Skills_Challenge.html","Autumn 2 · Week 4","Estate sequence W12","Enrichment Award: Junior/Young Duke + Community & Social Enterprise","Complete a creative/skills Duke challenge.","'BUILD Weekly - Autumn'!B154","'BUILD Weekly - Autumn'!C154","'BUILD Weekly - Autumn'!D144","Junior/Young Duke (Capable Kids) challenge levels · Community & Social Enterprise · AQA UAS.","'BUILD Weekly - Autumn'!F144","Junior/Young Duke level evidence; AQA UAS 'Personal challenge' (unit unconfirmed — centre record). F: challenge log. S: Duke challenges signed off + community launch (Dec).","Teaching/rehearsal · potential evidence: assessor review required."
