file,title,h1,enquiry,sow_strip,key_question
Art_Teesside/Build/BUILD_ART_A2_W1_Surface_Hunt.html,BUILD Art A2 W1 · Surface Hunt,Surface Hunt,,Progress SoW · Arts Aut 2 · 2026–27 · BUILD · Week 1,
Art_Teesside/Build/BUILD_ART_A2_W2_Arts_Inspiration.html,BUILD Art A2 W2 · Arts Inspiration,Arts Inspiration,,Progress SoW · Arts Aut 2 · 2026–27 · BUILD · Week 2,
Art_Teesside/Build/BUILD_ART_A2_W3_Stencil_Lab.html,BUILD Art A2 W3 · Stencil Lab,Stencil Lab,,Progress SoW · Arts Aut 2 · 2026–27 · BUILD · Week 3,
Art_Teesside/Build/BUILD_ART_A2_W4_Audience_Week.html,BUILD Art A2 W4 · Audience Week,Audience Week,,Progress SoW · Arts Aut 2 · 2026–27 · BUILD · Week 4,
Art_Teesside/Build/BUILD_ART_A2_W5_Layer_and_Combine.html,BUILD Art A2 W5 · Layer and Combine,Layer and Combine,,Progress SoW · Arts Aut 2 · 2026–27 · BUILD · Week 5,
Art_Teesside/Build/BUILD_ART_A2_W6_Resolve_and_Edition.html,BUILD Art A2 W6 · Resolve and Edition,Resolve and Print an Edition of Five,,Progress SoW · Arts Aut 2 · 2026–27 · BUILD · Week 6,
Art_Teesside/Build/BUILD_ART_A2_W7_Bank_It_and_Plan_the_Teach.html,BUILD Art A2 W7 · Bank It and Plan the Teach,Bank It and Plan the Teach,,Progress SoW · Arts Aut 2 · 2026–27 · BUILD · Week 7,
Art_Teesside/Build/BUILD_ART_W1_The_Local_Canvas.html,BUILD Art W1 · The Local Canvas,The Local Canvas,,Progress SoW · Arts Aut 1 · 2026–27 · BUILD · Week 1,"You walked past a hundred artworks on the way here — girders, shutters, rust stains, brick patterns. Which did you actually SEE?"
Art_Teesside/Build/BUILD_ART_W2_Artists_Makers_and_Teesside_Connections.html,"BUILD Art W2 · Artists, Makers and Teesside Connections","Artists, Makers and Teesside Connections",,Progress SoW · Arts Aut 1 · 2026–27 · BUILD · Week 2,"Painters, photographers and printmakers have been working the Tees for 150 years — smoke, steel, river and all. What did they see that we walk past?"
Art_Teesside/Build/BUILD_ART_W3_Industrial_Surface_Skills_Lab.html,BUILD Art W3 · Industrial Surface Skills Lab,Industrial Surface Skills Lab,,Progress SoW · Arts Aut 1 · 2026–27 · BUILD · Week 3,"Today is training, not performance. Six stations, six industrial surfaces, and full permission to ruin paper finding out what works."
Art_Teesside/Build/BUILD_ART_W4_Build_the_Brief.html,BUILD Art W4 · Build the Brief,Build the Brief,,Progress SoW · Arts Aut 1 · 2026–27 · BUILD · Week 4,"Every finished artwork answers three questions before it starts: what am I making, what should it communicate, and how will I pull it off?"
Art_Teesside/Build/BUILD_ART_W5_Critique_Test_and_Redirect.html,"BUILD Art W5 · Critique, Test and Redirect","Critique, Test and Redirect",,Progress SoW · Arts Aut 1 · 2026–27 · BUILD · Week 5,"Your work is mid-flight — the most useful moment for other eyes. Today: what to protect, what to test, what to change, what to reject."
Art_Teesside/Build/BUILD_ART_W6_Resolve_the_Artwork.html,BUILD Art W6 · Resolve the Artwork,Resolve the Artwork,,Progress SoW · Arts Aut 1 · 2026–27 · BUILD · Week 6,"The first 80% of an artwork is generous; the last 20% is decisions. Today is decisions: what gets finished, what gets left, what gets saved."
Art_Teesside/Build/BUILD_ART_W7_Curate_the_Showcase.html,BUILD Art W7 · Curate the Showcase,Curate the Showcase,,Progress SoW · Arts Aut 1 · 2026–27 · BUILD · Week 7,The same piece reads differently at eye height in good light with a clear label than skied in a corner. Today YOU are the curators — the wall is yours.
Art_Teesside/Build/BUILD_ART_W8_Share_Reflect_and_Close_the_Loop.html,"BUILD Art W8 · Share, Reflect and Close the Loop","Share, Reflect and Close the Loop",,Progress SoW · Arts Aut 1 · 2026–27 · BUILD · Week 8,Week 1's shaky element sheet. Week 3's best strip. Week 6's finished piece. Week 7's hung wall. Lay them in a row — that row is the story you tell today.
Art_Teesside/Grow/GROW_ART_W1_The_Local_Canvas.html,GROW Art W1 · The Local Canvas,The Local Canvas,,Progress SoW · Arts Aut 1 · 2026–27 · GROW · Week 1,Everything within ten minutes of this room is potential material. Bronze begins by claiming your patch: what's in YOUR radius that nobody else would map?
Art_Teesside/Grow/GROW_ART_W2_Studio_Skills_and_Safe_Practice.html,GROW Art W2 · Studio Skills and Safe Practice,Studio Skills and Safe Practice,,Progress SoW · Arts Aut 1 · 2026–27 · GROW · Week 2,Anyone can get lucky once. Bronze practice means getting it RIGHT three times and DIFFERENT on purpose the fourth. Today we take control of a process.
Art_Teesside/Grow/GROW_ART_W3_Independent_Studio_Challenge.html,GROW Art W3 · Independent Studio Challenge,Independent Studio Challenge,,Progress SoW · Arts Aut 1 · 2026–27 · GROW · Week 3,"One session. Your process, your pin, your call. The only rule: every decision gets a line in the log — because today the thinking IS the artwork."
Art_Teesside/Grow/GROW_ART_W4_Arts_Event_Attend_Capture_and_Review.html,"GROW Art W4 · Arts Event: Attend, Capture and Review","Arts Event: Attend, Capture and Review",,Progress SoW · Arts Aut 1 · 2026–27 · GROW · Week 4,"Makers forget how art arrives. This week's event — gallery, gig, mural walk or screening — flips you to the receiving end. What will you notice that a non-artis"
Art_Teesside/Grow/GROW_ART_W5_Practitioner_Career_and_Inspiration.html,"GROW Art W5 · Practitioner, Career and Inspiration","Practitioner, Career and Inspiration",,Progress SoW · Arts Aut 1 · 2026–27 · GROW · Week 5,Every practitioner you rate was once sixteen with a sketchbook and no plan. The useful question isn't 'what did they make' — it's 'what did they do NEXT'.
Art_Teesside/Grow/GROW_ART_W6_Plan_and_Rehearse_the_Skill_Share.html,GROW Art W6 · Plan and Rehearse the Skill Share,Plan and Rehearse the Skill Share,,Progress SoW · Arts Aut 1 · 2026–27 · GROW · Week 6,"Someone once taught you something that stuck — a skill your hands still know. Whatever they did, that's the toolkit. Today you build YOUR version of it."
Art_Teesside/Grow/GROW_ART_W7_Deliver_the_Skill_Share_and_Curate.html,GROW Art W7 · Deliver the Skill Share and Curate,Deliver the Skill Share and Curate,,Progress SoW · Arts Aut 1 · 2026–27 · GROW · Week 7,"Someone is about to know something because YOU planned how to hand it over. Chunks ready, cues scripted, rescue lines calm. Deliver."
Art_Teesside/Grow/GROW_ART_W8_Reflect_Audit_and_Close_the_Loop.html,"GROW Art W8 · Reflect, Audit and Close the Loop","Reflect, Audit and Close the Loop",,Progress SoW · Arts Aut 1 · 2026–27 · GROW · Week 8,"Map, control sheet, log, review, study, plan, delivery photos, receipts. Lay the term flat on the table — Bronze is already there; today we prove it."
Art_Teesside/Launch/LAUNCH_ART_W1_Frame_the_Local_Challenge.html,LAUNCH Art W1 · Frame the Local Challenge,Frame the Local Challenge,,Progress SoW · Arts Aut 1 · 2026–27 · LAUNCH · Week 1,"Silver starts by choosing a mountain: too small and the climb proves nothing, too big and you never summit in four weeks. What's YOUR right-sized mountain?"
Art_Teesside/Launch/LAUNCH_ART_W2_Practice_Careers_and_Pathways.html,"LAUNCH Art W2 · Practice, Careers and Pathways","Practice, Careers and Pathways",,Progress SoW · Arts Aut 1 · 2026–27 · LAUNCH · Week 2,"Between an artwork and its audience stands an ecosystem: curators, technicians, printers, funders, teachers. Your challenge sits inside it — who in it could you"
Art_Teesside/Launch/LAUNCH_ART_W3_Implement_and_Critically_Develop.html,LAUNCH Art W3 · Implement and Critically Develop,Implement and Critically Develop,,Progress SoW · Arts Aut 1 · 2026–27 · LAUNCH · Week 3,The first version's job is to exist. The second's job is to be BETTER FOR A REASON. Today both happen — and the log catches the reason.
Art_Teesside/Launch/LAUNCH_ART_W4_Arts_Experience_Attend_Analyse_and_Share.html,"LAUNCH Art W4 · Arts Experience: Attend, Analyse and Share","Arts Experience: Attend, Analyse and Share",,Progress SoW · Arts Aut 1 · 2026–27 · LAUNCH · Week 4,"Today's experience will be analysed, not just reviewed. First: write ONE assumption you're carrying in. The experience gets one job — to survive or shatter it."
Art_Teesside/Launch/LAUNCH_ART_W5_Design_the_Leadership_Project.html,LAUNCH Art W5 · Design the Leadership Project,Design the Leadership Project,,Progress SoW · Arts Aut 1 · 2026–27 · LAUNCH · Week 5,"Bronze: you taught ONE learner ONE skill. Silver: you lead a PROJECT — people, parts, schedule, audience. Same nerve, bigger machine. What need will YOUR machin"
