SCI id,pathway,week,item,hinge question,expected answer,plausible wrong answer,misconception revealed
SCI_BUILD_SU1_W01,BUILD,1,1,Which part takes water in from the soil?,Roots.,The stem.,Confuses uptake with transport.
SCI_BUILD_SU1_W01,BUILD,1,2,Which part holds the plant upright?,The stem.,The flower.,Confuses support with reproduction.
SCI_BUILD_SU1_W01,BUILD,1,3,Which broad green part catches light?,Leaves.,Roots.,Confuses light capture with soil uptake.
SCI_BUILD_SU1_W01,BUILD,1,4,Which part can lead to seeds after pollination?,Flower.,Leaves.,Confuses reproductive and photosynthetic parts.
SCI_BUILD_SU1_W01,BUILD,1,5,A label arrow points below the soil. Which part is it most likely to show?,Roots; check its position on the diagram.,"Flower, because every part is a flower.",Ignores position and structure in a labelled diagram.
SCI_BUILD_SU1_W01,BUILD,1,6,Can colour alone prove which plant part a picture shows?,No; check shape and position too.,Yes; all leaves are green.,"Relies on colour alone, excluding varied plant forms."
SCI_BUILD_SU1_W02,BUILD,2,1,Which part first takes water from soil?,Roots.,Leaves.,Confuses absorption with use of transported water.
SCI_BUILD_SU1_W02,BUILD,2,2,What does a stem do with water?,Carries it through the plant.,Makes all the water.,Confuses transport with production.
SCI_BUILD_SU1_W02,BUILD,2,3,What do leaves take in for photosynthesis?,Light.,Soil directly.,Confuses light capture with root uptake.
SCI_BUILD_SU1_W02,BUILD,2,4,What is one job of a flower?,Helping make seeds.,Holding the plant in soil.,Confuses reproduction with anchoring.
SCI_BUILD_SU1_W02,BUILD,2,5,A stem is cut off from roots. Which job is disrupted?,Carrying root-absorbed water upwards.,Taking light in from the air.,Mislocates water transport.
SCI_BUILD_SU1_W02,BUILD,2,6,Are roots and stems doing the same job?,No; roots absorb and stems transport.,Yes; both absorb water from soil.,Collapses related but distinct functions.
SCI_BUILD_SU1_W03,BUILD,3,1,Which of these is a plant growth need: light or loud music?,Light.,Loud music.,Mistakes an optional stimulus for a growth requirement.
SCI_BUILD_SU1_W03,BUILD,3,2,Where does a plant get water for growth in the example?,From water supplied to the roots.,Only from its flower.,Mislocates water uptake.
SCI_BUILD_SU1_W03,BUILD,3,3,Which is a suitable growth condition: warmth or permanent freezing?,Suitable warmth.,Permanent freezing.,Ignores temperature requirements.
SCI_BUILD_SU1_W03,BUILD,3,4,What do mineral nutrients help support?,Plant growth.,A substitute for all light.,Treats one requirement as a replacement for another.
SCI_BUILD_SU1_W03,BUILD,3,5,"Two similar plants get the same water, but only one gets light. What changed?",Light.,Water.,Does not track the variable changed.
SCI_BUILD_SU1_W03,BUILD,3,6,Can one small comparison prove that all plants need exactly the same conditions?,No; it tests one case under stated conditions.,Yes; one comparison proves every plant.,Overgeneralises from a limited test.
SCI_BUILD_SU1_W04,BUILD,4,1,"If testing water, what should differ between the two pots?",The amount of water.,The seed type and the light as well.,Changes several variables at once.
SCI_BUILD_SU1_W04,BUILD,4,2,Should both pots have the same kind of seed?,"Yes, for a fair comparison.","No, any different seeds are fine.",Does not control seed type.
SCI_BUILD_SU1_W04,BUILD,4,3,What would you measure over time?,A stated growth measure such as height.,How much you like the plant.,Confuses measurable outcome with preference.
SCI_BUILD_SU1_W04,BUILD,4,4,What should happen to light during a water test?,Keep it as similar as possible.,Change it in only one pot.,Confounds the water comparison.
SCI_BUILD_SU1_W04,BUILD,4,5,Does a plan to use the allotment prove a plant has grown there?,No; observe and record real results later.,Yes; planning is an observed result.,Treats proposed practical work as evidence.
SCI_BUILD_SU1_W04,BUILD,4,6,One pot is watered and also kept in the dark. Can water alone explain a difference?,No; light changed too.,Yes; water is the only cause.,Claims cause when more than one condition changed.
SCI_BUILD_SU1_W05,BUILD,5,1,What starts a real plant-growth record?,A dated observation of the actual plant.,An invented final height.,Substitutes made-up results for observation.
SCI_BUILD_SU1_W05,BUILD,5,2,Which pair is easier to compare over time?,The same measure on dated checks.,Two unrelated guesses.,Lacks a consistent measure.
SCI_BUILD_SU1_W05,BUILD,5,3,"If a plant does not grow, should you add a made-up number?",No; record what was observed.,Yes; make the chart look complete.,Falsifies an observed result.
SCI_BUILD_SU1_W05,BUILD,5,4,What does an ICT photo record need?,A date and plant or pot label without pupil data.,A pupil name and an assumed outcome.,Conflates evidence with personal data or assumption.
SCI_BUILD_SU1_W05,BUILD,5,5,Can a practice picture prove what happened to your real plant?,No; only actual observations can.,Yes; all plants grow the same.,Transfers simulated evidence to the real investigation.
SCI_BUILD_SU1_W05,BUILD,5,6,Why keep water and light checks consistent?,To interpret changes more fairly.,To guarantee an exact height.,Confuses a fair method with a guaranteed outcome.
SCI_BUILD_SU1_W06,BUILD,6,1,Where does soil water enter the plant?,Roots.,Leaves.,Reverses water uptake direction.
SCI_BUILD_SU1_W06,BUILD,6,2,Which part carries water up from roots?,Stem.,Flower only.,Misidentifies the transport route.
SCI_BUILD_SU1_W06,BUILD,6,3,What comes next in the main route: soil → roots → ?,Stem.,Soil again.,Cannot sequence the pathway.
SCI_BUILD_SU1_W06,BUILD,6,4,Where can transported water reach?,Leaves.,Only the roots.,Omits movement through the plant.
SCI_BUILD_SU1_W06,BUILD,6,5,Are downward arrows from leaves to soil a good model of uptake?,No; main uptake is soil → roots → stem → leaves.,Yes; rain falls down.,Confuses rain direction with internal transport.
SCI_BUILD_SU1_W06,BUILD,6,6,"If a stem is blocked, what part of the route is interrupted?",Movement from roots toward leaves.,The making of soil water.,Misunderstands stem transport.
SCI_GROW_SU1_W01,GROW,1,1,What happens when pollen reaches a stigma?,Pollination.,Dispersal.,Confuses pollen transfer with seed movement.
SCI_GROW_SU1_W01,GROW,1,2,What must follow successful pollen transfer before a seed can develop?,Fertilisation.,A fully grown seed instantly.,Collapses pollination and fertilisation.
SCI_GROW_SU1_W01,GROW,1,3,Which plant structure can become a seed after fertilisation?,The ovule.,The root.,Mislocates seed formation.
SCI_GROW_SU1_W01,GROW,1,4,When does seed dispersal occur?,After a seed has formed.,Before pollen transfer.,Reverses reproductive stages.
SCI_GROW_SU1_W01,GROW,1,5,A bee carries pollen. Has it made a mature seed already?,No; fertilisation and development may follow.,Yes; pollen transfer is the whole process.,Treats pollination as completed seed formation.
SCI_GROW_SU1_W01,GROW,1,6,Does every pollen transfer guarantee a viable seed?,No; later processes and conditions matter.,Yes; transfer alone guarantees it.,Overstates a single stage as a guaranteed outcome.
SCI_GROW_SU1_W02,GROW,2,1,A seed forms after gametes join. Which process is this?,Sexual reproduction.,Asexual reproduction.,Ignores gamete fusion.
SCI_GROW_SU1_W02,GROW,2,2,A strawberry runner grows a new plant without gamete fusion. Which process?,Asexual reproduction.,Sexual reproduction.,Treats all new plants as seed reproduction.
SCI_GROW_SU1_W02,GROW,2,3,A potato tuber sprouts a new plant. Is a seed required for this route?,No.,"Yes, every new plant needs a seed.",Misses vegetative reproduction.
SCI_GROW_SU1_W02,GROW,2,4,What distinguishes a runner from a fertilised ovule?,A runner forms a plant without fertilisation; the ovule follows fertilisation.,Both require pollen.,Collapses sexual and asexual mechanisms.
SCI_GROW_SU1_W02,GROW,2,5,Do all plants produced by gardeners come from seeds?,No; runners and tubers can also form plants.,Yes; every plant starts from a new seed.,Overgeneralises the seed route.
SCI_GROW_SU1_W02,GROW,2,6,Why may offspring from runners resemble the parent closely?,The route does not mix gametes from two parents.,Because wind always selects identical seeds.,Misattributes similarity to dispersal.
SCI_GROW_SU1_W03,GROW,3,1,Which seed feature suggests wind dispersal?,A light parachute-like structure.,Hooks for fur.,Mismatches form and dispersal mechanism.
SCI_GROW_SU1_W03,GROW,3,2,How could a hooked seed travel?,Attach to animal fur.,Float only in a stream.,Mismatches hooks and transport.
SCI_GROW_SU1_W03,GROW,3,3,Which clue supports water dispersal?,The seed floats and moves in water.,A dry pod bursts.,Confuses water transport with self dispersal.
SCI_GROW_SU1_W03,GROW,3,4,What might a bursting dry pod do?,Throw seeds away from the parent.,Pollinate a flower directly.,Confuses dispersal with pollination.
SCI_GROW_SU1_W03,GROW,3,5,A model seed flies farther with a fan. What changed?,Air movement.,The seed germinated.,Confuses dispersal and germination.
SCI_GROW_SU1_W03,GROW,3,6,Can one model flight distance predict every real seed journey?,No; repeat fairly and state the model limit.,Yes; the distance is universal.,Overgeneralises from a model.
SCI_GROW_SU1_W04,GROW,4,1,Ice becomes liquid water. What change is this?,Melting.,Dissolving.,Confuses state change and mixing.
SCI_GROW_SU1_W04,GROW,4,2,Liquid water becomes ice. What change is this?,Freezing.,Burning.,Confuses reversible state change with reaction.
SCI_GROW_SU1_W04,GROW,4,3,Sugar becomes invisible in water. Has it vanished?,No; it is dissolved.,Yes; it has been destroyed.,Mistakes dissolving for disappearance.
SCI_GROW_SU1_W04,GROW,4,4,Which example can be reversed by a change of state?,Ice ↔ liquid water.,Paper burned to ash.,Treats a chemical change as state change.
SCI_GROW_SU1_W04,GROW,4,5,How might dissolved salt be recovered?,Remove the water by teacher-approved evaporation.,Filter the solution with ordinary paper only.,Thinks filtration catches dissolved particles.
SCI_GROW_SU1_W04,GROW,4,6,Does every colour change prove a new substance formed?,No; more evidence is needed.,Yes; colour alone proves a reaction.,Overinterprets a single observation.
SCI_GROW_SU1_W05,GROW,5,1,How can insoluble sand be separated from water?,Filtration.,Cooling into ice.,Chooses a method unrelated to insoluble solid separation.
SCI_GROW_SU1_W05,GROW,5,2,Will ordinary filter paper trap dissolved salt?,No; dissolved salt passes through.,Yes; all solids are trapped.,Confuses dissolved and insoluble solids.
SCI_GROW_SU1_W05,GROW,5,3,How could salt be recovered from its solution?,Teacher-controlled evaporation.,More identical filtering.,Repeats an unsuitable method.
SCI_GROW_SU1_W05,GROW,5,4,What can reverse the melting of wax?,Cooling it.,Filtering the liquid wax.,Does not match method to state change.
SCI_GROW_SU1_W05,GROW,5,5,Why do sand and salt need different recovery methods?,Sand is insoluble; salt is dissolved.,Both are invisible in water.,Does not distinguish mixture states.
SCI_GROW_SU1_W05,GROW,5,6,Should pupils heat a solution without the teacher practical controls?,No; use the teacher-approved procedure.,Yes; any heating is safe.,Ignores practical controls.
SCI_GROW_SU1_W06,GROW,6,1,What happens when water freezes then melts?,A reversible state change.,A new substance forms.,Mistakes state change for reaction.
SCI_GROW_SU1_W06,GROW,6,2,What does rusting form from iron?,A new material: rust.,Only liquid iron.,Confuses reaction with melting.
SCI_GROW_SU1_W06,GROW,6,3,What remains after paper burns?,New materials such as ash and gases.,The original paper unchanged.,Ignores evidence of a chemical change.
SCI_GROW_SU1_W06,GROW,6,4,Will warming a rusty gate simply turn rust back into iron?,No.,"Yes, like melting ice.",Treats rusting as a reversible state change.
SCI_GROW_SU1_W06,GROW,6,5,Can brown colour alone prove an object is rusting?,No; consider material and other evidence.,Yes; all brown marks are rust.,Overclaims from colour alone.
SCI_GROW_SU1_W06,GROW,6,6,Should a burning example be performed as an unsupervised pupil test?,No; discuss the example only.,Yes; flame is needed to understand it.,Assumes a hazardous practical is necessary.
SCI_LAUNCH_SU1_W01,LAUNCH,1,1,What is a stimulus in a control pathway?,A change away from the regulated range.,The final response.,Reverses stimulus and response.
SCI_LAUNCH_SU1_W01,LAUNCH,1,2,What detects a change before coordination?,A receptor or monitoring system.,A hormone always appearing first.,Omits detection.
SCI_LAUNCH_SU1_W01,LAUNCH,1,3,How do hormones travel in the body?,As chemical messengers in blood.,Only along nerve fibres.,Confuses endocrine and nervous signalling.
SCI_LAUNCH_SU1_W01,LAUNCH,1,4,What does negative feedback tend to do?,Counter a change and move toward a regulated range.,Amplify every change indefinitely.,Misreads feedback direction.
SCI_LAUNCH_SU1_W01,LAUNCH,1,5,A model releases a hormone before detecting any change. What step is missing?,Detection of the changed condition.,Another final response.,Treats the pathway as an unordered list.
SCI_LAUNCH_SU1_W01,LAUNCH,1,6,Are all homeostatic pathways hormonal?,No; this is one type of coordination.,Yes; all control is hormonal.,Overgeneralises one model.
SCI_LAUNCH_SU1_W02,LAUNCH,2,1,Blood glucose rises after a meal. Which hormone helps lower it?,Insulin.,Glucagon.,Reverses the hormone response.
SCI_LAUNCH_SU1_W02,LAUNCH,2,2,Blood glucose falls below the usual range. Which hormone helps raise it?,Glucagon.,Insulin.,Reverses the low-glucose response.
SCI_LAUNCH_SU1_W02,LAUNCH,2,3,Which organ releases insulin and glucagon?,Pancreas.,Lungs.,Mislocates control organ.
SCI_LAUNCH_SU1_W02,LAUNCH,2,4,What happens when cells take up more glucose after insulin?,Raised blood glucose tends to fall toward range.,It rises because insulin makes glucose.,Misstates direction of negative feedback.
SCI_LAUNCH_SU1_W02,LAUNCH,2,5,A simulation uses a single smooth line. Does it predict one person exactly?,No; it simplifies real physiology.,Yes; everyone has the same curve.,Overinterprets a model.
SCI_LAUNCH_SU1_W02,LAUNCH,2,6,"If software is unavailable, can a labelled offline sequence still model the two routes?","Yes, if labelled as a model.",No; no learning is possible without a live simulation.,Confuses tool availability with the concept.
SCI_LAUNCH_SU1_W03,LAUNCH,3,1,Where does blood returning from the body enter?,The right side of the heart.,The left side from the lungs.,Confuses the two return routes.
SCI_LAUNCH_SU1_W03,LAUNCH,3,2,Where does the right side pump blood?,To the lungs.,Directly to all body tissues.,Reverses pulmonary and systemic routes.
SCI_LAUNCH_SU1_W03,LAUNCH,3,3,What returns from lungs to the heart?,Oxygenated blood to the left side.,Blood directly to body without heart.,Omits the heart in double circulation.
SCI_LAUNCH_SU1_W03,LAUNCH,3,4,Where does the left side pump blood?,To the body.,Only to the lungs.,Confuses left and right outputs.
SCI_LAUNCH_SU1_W03,LAUNCH,3,5,Can blood go body → lungs → body without passing through the heart?,No; both circuits pass through the heart.,Yes; the lungs pump it.,Removes the heart from the circuit.
SCI_LAUNCH_SU1_W03,LAUNCH,3,6,Can vessel names be decided from red or blue colour alone?,No; trace route and labels.,Yes; colour alone fixes every vessel.,Uses colour as the sole cue.
SCI_LAUNCH_SU1_W04,LAUNCH,4,1,Why do many alveoli help gas exchange?,They provide a large surface area.,They make the barrier thick.,Confuses area with thickness.
SCI_LAUNCH_SU1_W04,LAUNCH,4,2,Why is a thin alveolar wall helpful?,It shortens diffusion distance.,It stops diffusion.,Reverses structure-function link.
SCI_LAUNCH_SU1_W04,LAUNCH,4,3,What does blood flow at the exchange surface help maintain?,A concentration gradient by carrying gases.,A sealed surface with no exchange.,Misses the role of supply and removal.
SCI_LAUNCH_SU1_W04,LAUNCH,4,4,What is ventilation?,Movement of air in and out of lungs.,Diffusion through the wall only.,Conflates air movement and gas exchange.
SCI_LAUNCH_SU1_W04,LAUNCH,4,5,"If a wall becomes thicker but airflow remains, why can transfer slow?",The diffusion distance is longer.,Normal airflow removes all need for diffusion.,Treats ventilation as a substitute for diffusion.
SCI_LAUNCH_SU1_W04,LAUNCH,4,6,Would stopped airflow leave the same fresh-air gradient indefinitely?,No; the gradient would be harder to maintain.,Yes; the air never changes.,Ignores gradient maintenance.
