pathway,file,tier,surface,verb,stem
BUILD,BUILD__SCI_B_W3A_Backbones_Explore.html,Stretch,screen,explain,Explain how an animal can be supported even without an internal backbone.
BUILD,BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,Stretch,screen,explain,Explain why appearance alone can lead to a classification mistake.
BUILD,BUILD__SCI_B_W4A_Muscles_Explore.html,,screen,work,"▲ Work the model. Then say how the arm bends. Or write it down. 🧰 Scaffold Stem. ‘When the arm bends, ___ contracts and ___ relaxes’. Swap t"
BUILD,BUILD__SCI_B_W4A_Muscles_Explore.html,,screen,explain,★ Explain the bend. Explain the straighten. A muscle can only pull. So why do you need two? 🧰 Scaffold Use the words ‘muscles only pull’. So
BUILD,BUILD__SCI_B_W4A_Muscles_Explore.html,Supported,screen,complete,Complete: muscles work in a ___.
BUILD,BUILD__SCI_B_W4A_Muscles_Explore.html,Stretch,screen,explain,Explain why muscles need partners if they can only pull.
BUILD,BUILD__SCI_B_W4A_Muscles_Explore.html,Standard,print,work,▲ Work the model. Then say how the arm bends. Or write it down.
BUILD,BUILD__SCI_B_W4A_Muscles_Explore.html,Stretch,print,explain,★ Explain the bend. Explain the straighten. A muscle can only pull. So why do you need two?
BUILD,BUILD__SCI_B_W4A_Muscles_Explore.html,,print,work,▲ Work the model. Then say how the arm bends. Or write it down.
BUILD,BUILD__SCI_B_W4A_Muscles_Explore.html,,print,explain,★ Explain the bend. Explain the straighten. A muscle can only pull. So why do you need two?
BUILD,BUILD__SCI_B_W4B_Muscle_Model_Do.html,Standard,screen,explain,Explain the muscle swap using contract and relax.
BUILD,BUILD__SCI_B_W4B_Muscle_Model_Do.html,Stretch,screen,explain,Explain one limitation of the model without losing the core scientific rule.
BUILD,BUILD__SCI_B_W5A_Body_Needs_Explore.html,Stretch,screen,explain,Explain why different types of food are useful for different body jobs.
BUILD,BUILD__SCI_B_W5B_Nutrition_Mission_Do.html,,screen,compare,★ Compare two toolkits. Which one covers more body jobs? Say which set is stronger. Then say why. 🧰 Scaffold Judge the whole set. Do not jus
BUILD,BUILD__SCI_B_W5B_Nutrition_Mission_Do.html,Standard,screen,explain,Explain one choice using a body job.
BUILD,BUILD__SCI_B_W5B_Nutrition_Mission_Do.html,Stretch,screen,explain,Explain how feedback changed or strengthened one decision.
BUILD,BUILD__SCI_B_W5B_Nutrition_Mission_Do.html,Stretch,print,compare,★ Compare two toolkits. Which one covers more body jobs? Say which set is stronger. Then say why.
BUILD,BUILD__SCI_B_W5B_Nutrition_Mission_Do.html,,print,compare,★ Compare two toolkits. Which one covers more body jobs? Say which set is stronger. Then say why.
BUILD,BUILD__SCI_B_W6A_Balanced_Plate_Explore.html,,screen,compare,★ Compare two made-up plates. Which plate has more food groups? Say which one. Say why. Then say what you would change. 🧰 Scaffold Look at t
BUILD,BUILD__SCI_B_W6A_Balanced_Plate_Explore.html,Stretch,screen,explain,Explain why balance is not the same as equal amounts of every group.
BUILD,BUILD__SCI_B_W6A_Balanced_Plate_Explore.html,Stretch,print,compare,★ Compare two made-up plates. Which plate has more food groups? Say which one. Say why. Then say what you would change.
BUILD,BUILD__SCI_B_W6A_Balanced_Plate_Explore.html,,print,compare,★ Compare two made-up plates. Which plate has more food groups? Say which one. Say why. Then say what you would change.
BUILD,BUILD__SCI_B_W6B_Balanced_Plate_Do.html,Standard,screen,explain,Explain what makes your model balanced.
BUILD,BUILD__SCI_B_W7A_Food_Sources_Explore.html,Standard,screen,give,Give one animal and where it gets food from.
BUILD,BUILD__SCI_B_W7A_Food_Sources_Explore.html,Stretch,screen,explain,Explain the difference between how a plant and an animal gets food.
BUILD,BUILD__SCI_B_W7B_Food_Chain_Do.html,Standard,screen,explain,Explain one link in your chain.
GROW,GROW__SCI_G_W5B_Fair_Test_Do.html,Supported,screen,state,State one thing you kept the same.
GROW,GROW__SCI_G_W5B_Fair_Test_Do.html,,print,calculate,"★ Calculate means, identify unusual variation and evaluate one specific improvement."
GROW,GROW__SCI_G_W6B_Earth_And_Planets_Do.html,Stretch,screen,evaluate,Evaluate one strength and one limitation of your model.
LAUNCH,LAUNCH__SCI_L_W3L1_Microscopy_Introduce.html,Supported,screen,point,Point to something in this room you would need to look at very closely to see properly.
LAUNCH,LAUNCH__SCI_L_W3L1_Microscopy_Introduce.html,Supported,screen,say,"Say or point: does a magnifying glass make things bigger, or clearer?"
LAUNCH,LAUNCH__SCI_L_W3L1_Microscopy_Introduce.html,Supported,screen,look,Look at the microscope. Point to the eyepiece — the part you look through.
LAUNCH,LAUNCH__SCI_L_W3L2_Calculating_Magnification_Explore.html,Supported,screen,point,Point to the eyepiece on the microscope diagram.
LAUNCH,LAUNCH__SCI_L_W3L2_Calculating_Magnification_Explore.html,Supported,screen,say,"Say or point: if something is 10 times bigger, is it larger or smaller?"
LAUNCH,LAUNCH__SCI_L_W3L2_Calculating_Magnification_Explore.html,Supported,screen,look,Look at the drawing and the real cell. Point to the bigger one.
LAUNCH,LAUNCH__SCI_L_W3L3_Magnification_Lab_Do.html,Supported,screen,point,Point to the magnification formula on the card.
LAUNCH,LAUNCH__SCI_L_W3L3_Magnification_Lab_Do.html,Supported,screen,say,Say which lens you look through.
LAUNCH,LAUNCH__SCI_L_W3L3_Magnification_Lab_Do.html,Supported,screen,point,Point to the millimetre marks on a ruler.
LAUNCH,LAUNCH__SCI_L_W4L1_Diffusion_Introduce.html,Supported,screen,point,Point to the units you wrote in your answer.
LAUNCH,LAUNCH__SCI_L_W4L1_Diffusion_Introduce.html,Supported,screen,say,Say which lens is closest to the specimen.
LAUNCH,LAUNCH__SCI_L_W4L1_Diffusion_Introduce.html,Supported,screen,point,Point to something you could only see with a microscope.
LAUNCH,LAUNCH__SCI_L_W4L1_Diffusion_Introduce.html,,screen,test,▲ Test two variables. Then explain both patterns. 🧰 Scaffold Pattern → because frame. Fade: remove the first prompt that no longer changes s
LAUNCH,LAUNCH__SCI_L_W4L1_Diffusion_Introduce.html,Standard,print,test,▲ Test two variables and explain both patterns.
LAUNCH,LAUNCH__SCI_L_W4L1_Diffusion_Introduce.html,,print,test,▲ Test two variables and explain both patterns.
LAUNCH,LAUNCH__SCI_L_W4L2_Diffusion_Lungs_Explore.html,Supported,screen,point,Point to the crowded side of the diagram.
LAUNCH,LAUNCH__SCI_L_W4L2_Diffusion_Lungs_Explore.html,Supported,screen,say,Say what a microscope helps you see.
LAUNCH,LAUNCH__SCI_L_W4L2_Diffusion_Lungs_Explore.html,Supported,screen,point,Point to the eyepiece.
LAUNCH,LAUNCH__SCI_L_W4L2_Diffusion_Lungs_Explore.html,Supported,screen,look,Look at the lung diagram. Point to the air sacs.
LAUNCH,LAUNCH__SCI_L_W4L2_Diffusion_Lungs_Explore.html,Stretch,screen,predict,"Predict which features of an exchange surface would make diffusion fastest, and say why for each."
LAUNCH,LAUNCH__SCI_L_W4L3_Diffusion_Explanation_Do.html,Supported,screen,point,Point to the air sac on the diagram.
LAUNCH,LAUNCH__SCI_L_W4L3_Diffusion_Explanation_Do.html,Supported,screen,say,Say which way particles move overall in diffusion.
LAUNCH,LAUNCH__SCI_L_W4L3_Diffusion_Explanation_Do.html,Supported,screen,point,Point to something too small to see without a microscope.
LAUNCH,LAUNCH__SCI_L_W5L1_Osmosis_Introduce.html,Supported,screen,point,Point to the word diffusion on the card.
LAUNCH,LAUNCH__SCI_L_W5L1_Osmosis_Introduce.html,Supported,screen,say,Say which way particles spread.
LAUNCH,LAUNCH__SCI_L_W5L1_Osmosis_Introduce.html,Supported,screen,point,Point to the lens you look through.
LAUNCH,LAUNCH__SCI_L_W5L1_Osmosis_Introduce.html,Supported,screen,look,Look at the two sides of the bag. Point to the side with more water.
LAUNCH,LAUNCH__SCI_L_W5L1_Osmosis_Introduce.html,,screen,look,Look at both scenarios. Label each one. Then use the membrane model. Which way does water move? Predict it. Write the full definition. Then 
LAUNCH,LAUNCH__SCI_L_W5L2_Osmosis_Core_Practical_Explore.html,Supported,screen,point,Point to the membrane in the diagram.
LAUNCH,LAUNCH__SCI_L_W5L2_Osmosis_Core_Practical_Explore.html,Supported,screen,say,Say which way particles spread in diffusion.
LAUNCH,LAUNCH__SCI_L_W5L2_Osmosis_Core_Practical_Explore.html,Supported,screen,point,Point to the millimetre marks on the ruler.
LAUNCH,LAUNCH__SCI_L_W5L3_Osmosis_Data_Do.html,Supported,screen,point,Point to the balance you used.
LAUNCH,LAUNCH__SCI_L_W5L3_Osmosis_Data_Do.html,Supported,screen,say,Say which way water moves in osmosis.
LAUNCH,LAUNCH__SCI_L_W5L3_Osmosis_Data_Do.html,Supported,screen,point,Point to the crowded side of the diagram.
LAUNCH,LAUNCH__SCI_L_W5L3_Osmosis_Data_Do.html,Supported,screen,look,Look at the graph. Point to where the line crosses zero.
LAUNCH,LAUNCH__SCI_L_W6L1_Active_Transport_Introduce.html,Supported,screen,point,Point to the zero line on the graph.
LAUNCH,LAUNCH__SCI_L_W6L1_Active_Transport_Introduce.html,Supported,screen,say,Say which way water moves across a membrane.
LAUNCH,LAUNCH__SCI_L_W6L1_Active_Transport_Introduce.html,Supported,screen,point,Point to the side with more particles.
LAUNCH,LAUNCH__SCI_L_W6L1_Active_Transport_Introduce.html,Supported,screen,look,Look at the root hair. Point to the soil side.
LAUNCH,LAUNCH__SCI_L_W6L2_Root_Hairs_And_Gut_Explore.html,Supported,screen,point,Point to the word energy on the card.
LAUNCH,LAUNCH__SCI_L_W6L2_Root_Hairs_And_Gut_Explore.html,Supported,screen,say,Say which way water moves in osmosis.
LAUNCH,LAUNCH__SCI_L_W6L2_Root_Hairs_And_Gut_Explore.html,Supported,screen,point,Point to the air sac in the lung diagram.
LAUNCH,LAUNCH__SCI_L_W6L2_Root_Hairs_And_Gut_Explore.html,Supported,screen,look,Look at the root hair cell. Point to its long thin shape.
LAUNCH,LAUNCH__SCI_L_W6L2_Root_Hairs_And_Gut_Explore.html,Stretch,screen,predict,"Predict what an experiment would show if you deprived root cells of oxygen, and say why."
LAUNCH,LAUNCH__SCI_L_W6L3_Compare_Transport_Do.html,Supported,screen,point,Point to the root hair on the diagram.
LAUNCH,LAUNCH__SCI_L_W6L3_Compare_Transport_Do.html,Supported,screen,say,Say what active transport needs that diffusion does not.
LAUNCH,LAUNCH__SCI_L_W6L3_Compare_Transport_Do.html,Supported,screen,point,Point to the membrane.
LAUNCH,LAUNCH__SCI_L_W7L1_Topic_1_Round_Up_Introduce.html,Supported,screen,point,Point to the column that says energy.
LAUNCH,LAUNCH__SCI_L_W7L1_Topic_1_Round_Up_Introduce.html,Supported,screen,say,Say where a root hair is found.
LAUNCH,LAUNCH__SCI_L_W7L1_Topic_1_Round_Up_Introduce.html,Supported,screen,point,Point to the microscope.
LAUNCH,LAUNCH__SCI_L_W7L2_Command_Words_Explore.html,Supported,screen,point,Point to two ideas that link on the map.
LAUNCH,LAUNCH__SCI_L_W7L2_Command_Words_Explore.html,Supported,screen,say,Say which process needs energy.
LAUNCH,LAUNCH__SCI_L_W7L2_Command_Words_Explore.html,Supported,screen,point,Point to the membrane on the diagram.
LAUNCH,LAUNCH__SCI_L_W7L2_Command_Words_Explore.html,Supported,screen,look,Look at the two questions. Point to the first word of each.
LAUNCH,LAUNCH__SCI_L_W7L3_Exam_Practice_Do.html,Supported,screen,point,Point to the word explain on the card.
LAUNCH,LAUNCH__SCI_L_W7L3_Exam_Practice_Do.html,Supported,screen,say,Say one idea from Topic 1.
LAUNCH,LAUNCH__SCI_L_W7L3_Exam_Practice_Do.html,Supported,screen,point,Point to the process that needs energy.
