file,slide_type,slide_title,panel,tier,surface,qnum,label,stem
BUILD__SCI_B_W3A_Backbones_Explore.html,arrival,🚪 Arrival · what you already know,arrival,Supported,screen,1,,What you know: Point to the backbone on the skeleton picture.
BUILD__SCI_B_W3A_Backbones_Explore.html,arrival,🚪 Arrival · what you already know,arrival,Supported,screen,2,,Animals you know: Point to an animal card you know.
BUILD__SCI_B_W3A_Backbones_Explore.html,arrival,🚪 Arrival · what you already know,arrival,Supported,screen,3,,Think about it: Point to a hard animal. Point to a soft animal.
BUILD__SCI_B_W3A_Backbones_Explore.html,arrival,🚪 Arrival · what you already know,arrival,Supported,screen,4,,Lead-in: Look at the crab picture. Point to its hard outside.
BUILD__SCI_B_W3A_Backbones_Explore.html,arrival,🚪 Arrival · what you already know,arrival,Standard,screen,1,,What you know: Name two bones you already know. Then point to the backbone.
BUILD__SCI_B_W3A_Backbones_Explore.html,arrival,🚪 Arrival · what you already know,arrival,Standard,screen,2,,Animals you know: Name an animal you think has bones inside. Say how you know.
BUILD__SCI_B_W3A_Backbones_Explore.html,arrival,🚪 Arrival · what you already know,arrival,Standard,screen,3,,Think about it: Say one thing a skeleton does.
BUILD__SCI_B_W3A_Backbones_Explore.html,arrival,🚪 Arrival · what you already know,arrival,Standard,screen,4,,Lead-in: A crab feels hard outside. Say one thing you notice about that.
BUILD__SCI_B_W3A_Backbones_Explore.html,arrival,🚪 Arrival · what you already know,arrival,Stretch,screen,1,,What you know: What do you already know about what a skeleton does?
BUILD__SCI_B_W3A_Backbones_Explore.html,arrival,🚪 Arrival · what you already know,arrival,Stretch,screen,2,,Animals you know: Which animals do you think have bones inside? Why?
BUILD__SCI_B_W3A_Backbones_Explore.html,arrival,🚪 Arrival · what you already know,arrival,Stretch,screen,3,,Think about it: What might hold up an animal with no bones? Say your idea.
BUILD__SCI_B_W3A_Backbones_Explore.html,arrival,🚪 Arrival · what you already know,arrival,Stretch,screen,4,,Lead-in: A crab is hard outside. A worm is soft. What questions does that give you?
BUILD__SCI_B_W3A_Backbones_Explore.html,arrival,🚪 Arrival · what you already know,,,screen,1,,What you know: Point to the backbone on the skeleton picture.
BUILD__SCI_B_W3A_Backbones_Explore.html,arrival,🚪 Arrival · what you already know,,,screen,2,,Animals you know: Point to an animal card you know.
BUILD__SCI_B_W3A_Backbones_Explore.html,arrival,🚪 Arrival · what you already know,,,screen,3,,Think about it: Point to a hard animal. Point to a soft animal.
BUILD__SCI_B_W3A_Backbones_Explore.html,arrival,🚪 Arrival · what you already know,,,screen,4,,Lead-in: Look at the crab picture. Point to its hard outside.
BUILD__SCI_B_W3A_Backbones_Explore.html,arrival,🚪 Arrival · what you already know,,,screen,1,,What you know: Name two bones you already know. Then point to the backbone.
BUILD__SCI_B_W3A_Backbones_Explore.html,arrival,🚪 Arrival · what you already know,,,screen,2,,Animals you know: Name an animal you think has bones inside. Say how you know.
BUILD__SCI_B_W3A_Backbones_Explore.html,arrival,🚪 Arrival · what you already know,,,screen,3,,Think about it: Say one thing a skeleton does.
BUILD__SCI_B_W3A_Backbones_Explore.html,arrival,🚪 Arrival · what you already know,,,screen,4,,Lead-in: A crab feels hard outside. Say one thing you notice about that.
BUILD__SCI_B_W3A_Backbones_Explore.html,arrival,🚪 Arrival · what you already know,,,screen,1,,What you know: What do you already know about what a skeleton does?
BUILD__SCI_B_W3A_Backbones_Explore.html,arrival,🚪 Arrival · what you already know,,,screen,2,,Animals you know: Which animals do you think have bones inside? Why?
BUILD__SCI_B_W3A_Backbones_Explore.html,arrival,🚪 Arrival · what you already know,,,screen,3,,Think about it: What might hold up an animal with no bones? Say your idea.
BUILD__SCI_B_W3A_Backbones_Explore.html,arrival,🚪 Arrival · what you already know,,,screen,4,,Lead-in: A crab is hard outside. A worm is soft. What questions does that give you?
BUILD__SCI_B_W3A_Backbones_Explore.html,starter,🌱 Starter · create the need to know,,,screen,,,"A crab can feel hard and protected, but it has no bones inside. How can that be? Choose a hypothesis before we reveal the inside."
BUILD__SCI_B_W3A_Backbones_Explore.html,independent,✏️ Independent · evidence of learning,,,screen,,,Creature X-Ray case file. Sort the eight animal cards. Make two groups. Then pick one animal. Prove its classification. Your evidence is body parts you can see.
BUILD__SCI_B_W3A_Backbones_Explore.html,independent,✏️ Independent · evidence of learning,,,screen,,,◆ Use the BACKBONE mat. Use the NO BACKBONE mat. Sort your cards. Two anchor cards help. 🧰 Scaffold Anchor cards. A fish has an internal backbone. A crab’s hard case is outside. Word bank: backbone · inside · outside · hard · support. Fade it: remove the first prompt no longer needed.
BUILD__SCI_B_W3A_Backbones_Explore.html,independent,✏️ Independent · evidence of learning,,,screen,,,▲ Sort all eight animals. Then pick one. Write one ‘because’ sentence. It must prove your choice. 🧰 Scaffold Sentence stem. ‘The ___ is a ___ because I can see ___’. Or swap in ‘cannot’. Fade it: remove the first prompt no longer needed.
BUILD__SCI_B_W3A_Backbones_Explore.html,independent,✏️ Independent · evidence of learning,,,screen,,,★ Sort them all. Justify two choices. An invertebrate has no backbone. Explain what holds it up. 🧰 Scaffold Add a counterexample. Pick a big animal. Pick a small one. Size is not a valid classification test. Nor is fur. Fade it: remove the first prompt no longer needed.
BUILD__SCI_B_W3A_Backbones_Explore.html,exit,🎫 Exit · adult Audience closes BUILD,exit,Supported,screen,,,Circle the vertebrate: worm / cat.
BUILD__SCI_B_W3A_Backbones_Explore.html,exit,🎫 Exit · adult Audience closes BUILD,exit,Standard,screen,,,Name one vertebrate and one invertebrate and give the test you used.
BUILD__SCI_B_W3A_Backbones_Explore.html,exit,🎫 Exit · adult Audience closes BUILD,exit,Stretch,screen,,,Explain how an animal can be supported even without an internal backbone.
BUILD__SCI_B_W3A_Backbones_Explore.html,exit,🎫 Exit · adult Audience closes BUILD,,,screen,,,Circle the vertebrate: worm / cat.
BUILD__SCI_B_W3A_Backbones_Explore.html,exit,🎫 Exit · adult Audience closes BUILD,,,screen,,,Name one vertebrate and one invertebrate and give the test you used.
BUILD__SCI_B_W3A_Backbones_Explore.html,exit,🎫 Exit · adult Audience closes BUILD,,,screen,,,Explain how an animal can be supported even without an internal backbone.
BUILD__SCI_B_W3A_Backbones_Explore.html,print,print pack,route,Supported,print,,,◆ Use the BACKBONE mat. Use the NO BACKBONE mat. Sort your cards. Two anchor cards help.
BUILD__SCI_B_W3A_Backbones_Explore.html,print,print pack,route,Standard,print,,,▲ Sort all eight animals. Then pick one. Write one ‘because’ sentence. It must prove your choice.
BUILD__SCI_B_W3A_Backbones_Explore.html,print,print pack,route,Stretch,print,,,★ Sort them all. Justify two choices. An invertebrate has no backbone. Explain what holds it up.
BUILD__SCI_B_W3A_Backbones_Explore.html,print,print pack,box,,print,,,Name: _______________________________ Date: ______________________
BUILD__SCI_B_W3A_Backbones_Explore.html,print,print pack,box,,print,,,"New to this class, or not sure? Everything you need is in the Arrival box below — read it, then answer."
BUILD__SCI_B_W3A_Backbones_Explore.html,print,print pack,box,,print,,,Learning objective: I can sort animals into those with a backbone and those without.
BUILD__SCI_B_W3A_Backbones_Explore.html,print,print pack,box,,print,,,Model: helps us see — The model helps us check one feature every time: the internal backbone. Does not show — It does not show every feature. Looks alone cannot prove a classification.
BUILD__SCI_B_W3A_Backbones_Explore.html,print,print pack,box,,print,,,Arrival — what you already know: Weeks 1 and 2 were baseline. There is no previous lesson to recall — this is where the teaching starts.
BUILD__SCI_B_W3A_Backbones_Explore.html,print,print pack,box,,print,,,Arrival (Supported forms): 1) Point to the backbone on the skeleton picture. 2) Point to an animal card you know. 3) Point to a hard animal. Point to a soft animal. 4) Look at the crab picture. Point to its hard outside.
BUILD__SCI_B_W3A_Backbones_Explore.html,print,print pack,box,,print,,,◆ Use the BACKBONE mat. Use the NO BACKBONE mat. Sort your cards. Two anchor cards help.
BUILD__SCI_B_W3A_Backbones_Explore.html,print,print pack,box,,print,,,▲ Sort all eight animals. Then pick one. Write one ‘because’ sentence. It must prove your choice.
BUILD__SCI_B_W3A_Backbones_Explore.html,print,print pack,box,,print,,,★ Sort them all. Justify two choices. An invertebrate has no backbone. Explain what holds it up.
BUILD__SCI_B_W3A_Backbones_Explore.html,print,print pack,box,,print,,,"Your sorted mat and your reason. An adult may take a photo, watch you sort, or record your voice if allowed."
BUILD__SCI_B_W3A_Backbones_Explore.html,print,print pack,box,,print,,,Supported: Circle the vertebrate: worm / cat.
BUILD__SCI_B_W3A_Backbones_Explore.html,print,print pack,box,,print,,,Standard: Name one vertebrate and one invertebrate and give the test you used.
BUILD__SCI_B_W3A_Backbones_Explore.html,print,print pack,box,,print,,,Stretch: Explain how an animal can be supported even without an internal backbone.
BUILD__SCI_B_W3A_Backbones_Explore.html,print,print pack,box,,print,,,"Pearson Entry Level Science 8939 (E1→E3); AQA UAS science units Records what was observed, and at which level of independence."
BUILD__SCI_B_W3A_Backbones_Explore.html,print,print pack,box,,print,,,Observed in this lesson
BUILD__SCI_B_W3A_Backbones_Explore.html,print,print pack,box,,print,,,☐ Located the backbone on a diagram unaided.
BUILD__SCI_B_W3A_Backbones_Explore.html,print,print pack,box,,print,,,☐ Sorted animals into vertebrate / invertebrate.
BUILD__SCI_B_W3A_Backbones_Explore.html,print,print pack,box,,print,,,☐ Gave a reason using the word 'because'.
BUILD__SCI_B_W3A_Backbones_Explore.html,print,print pack,box,,print,,,Assessor comment
BUILD__SCI_B_W3A_Backbones_Explore.html,print,print pack,box,,print,,,Ring the tier the pupil actually worked at
BUILD__SCI_B_W3A_Backbones_Explore.html,print,print pack,box,,print,,,Assessor name ______________ Role ____________ Signature ______________ Date ________
BUILD__SCI_B_W3A_Backbones_Explore.html,print,print pack,box,,print,,,Date: ____________________ PUPIL / EVIDENCE ID: ____________________
BUILD__SCI_B_W3A_Backbones_Explore.html,print,print pack,box,,print,,,Learning objective: I can sort animals into those with a backbone and those without.
BUILD__SCI_B_W3A_Backbones_Explore.html,print,print pack,box,,print,,,"Optional one-page capture. Point, say, draw or have an adult scribe — writing is never required. This sheet adds to the tiered pack; it never replaces it."
