file,tier,status,detail,best,screen,print_
BUILD__SCI_B_W3A_Backbones_Explore.html,Supported,OK,screen_n=1 print_n=2,1.0,use the backbone mat use the no backbone mat sort your cards two anchor cards help,use the backbone mat use the no backbone mat sort your cards two anchor cards help
BUILD__SCI_B_W3A_Backbones_Explore.html,Standard,OK,screen_n=1 print_n=2,1.0,sort all eight animals then pick one write one because sentence it must prove your choice,sort all eight animals then pick one write one because sentence it must prove your choice
BUILD__SCI_B_W3A_Backbones_Explore.html,Stretch,OK,screen_n=1 print_n=2,1.0,sort them all justify two choices an invertebrate has no backbone explain what holds it up,sort them all justify two choices an invertebrate has no backbone explain what holds it up
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,Supported,OK,screen_n=1 print_n=2,1.0,classify six creatures use the anchor pair an adult reads with you,classify six creatures use the anchor pair an adult reads with you
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,Standard,OK,screen_n=1 print_n=2,1.0,classify all eight creatures pick two justify each choice,classify all eight creatures pick two justify each choice
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,Stretch,OK,screen_n=1 print_n=2,1.0,add a creature you do not know not sure say what more evidence you need,add a creature you do not know not sure say what more evidence you need
BUILD__SCI_B_W4A_Muscles_Explore.html,Supported,OK,screen_n=1 print_n=2,1.0,use a built arm place the contracts label place the relaxes label,use a built arm place the contracts label place the relaxes label
BUILD__SCI_B_W4A_Muscles_Explore.html,Standard,OK,screen_n=1 print_n=2,1.0,work the model then say how the arm bends or write it down,work the model then say how the arm bends or write it down
BUILD__SCI_B_W4A_Muscles_Explore.html,Stretch,OK,screen_n=1 print_n=2,1.0,explain the bend explain the straighten a muscle can only pull so why do you need two,explain the bend explain the straighten a muscle can only pull so why do you need two
BUILD__SCI_B_W4B_Muscle_Model_Do.html,Supported,OK,screen_n=1 print_n=2,1.0,use a built model work it then label it,use a built model work it then label it
BUILD__SCI_B_W4B_Muscle_Model_Do.html,Standard,OK,screen_n=1 print_n=2,1.0,build it from the photo steps work it explain the bend explain the straighten,build it from the photo steps work it explain the bend explain the straighten
BUILD__SCI_B_W4B_Muscle_Model_Do.html,Stretch,OK,screen_n=1 print_n=2,1.0,make the model better or find a fault keep the pull pair rule,make the model better or find a fault keep the pull pair rule
BUILD__SCI_B_W5A_Body_Needs_Explore.html,Supported,OK,screen_n=1 print_n=2,1.0,match six picture cards use the three job stations the labels help you ask if you are stuck,match six picture cards use the three job stations the labels help you ask if you are stuck
BUILD__SCI_B_W5A_Body_Needs_Explore.html,Standard,OK,screen_n=1 print_n=2,1.0,sort all the cards then explain one match use because,sort all the cards then explain one match use because
BUILD__SCI_B_W5A_Body_Needs_Explore.html,Stretch,OK,screen_n=1 print_n=2,1.0,one food type cannot do every job explain why then compare what two animals need,one food type cannot do every job explain why then compare what two animals need
BUILD__SCI_B_W5B_Nutrition_Mission_Do.html,Supported,OK,screen_n=1 print_n=2,1.0,use three job stations use six cards we picked point to one match say why it fits,use three job stations use six cards we picked point to one match say why it fits
BUILD__SCI_B_W5B_Nutrition_Mission_Do.html,Standard,OK,screen_n=1 print_n=2,1.0,build a made up toolkit use a mix of cards say why you made two of the choices,build a made up toolkit use a mix of cards say why you made two of the choices
BUILD__SCI_B_W5B_Nutrition_Mission_Do.html,Stretch,OK,screen_n=1 print_n=2,1.0,compare two toolkits which one covers more body jobs say which set is stronger then say why,compare two toolkits which one covers more body jobs say which set is stronger then say why
BUILD__SCI_B_W6A_Balanced_Plate_Explore.html,Supported,OK,screen_n=1 print_n=2,1.0,use a plate mat it has group names and icons sort a set of six cards,use a plate mat it has group names and icons sort a set of six cards
BUILD__SCI_B_W6A_Balanced_Plate_Explore.html,Standard,OK,screen_n=1 print_n=2,1.0,place all eight cards then give one sentence make it about balance,place all eight cards then give one sentence make it about balance
BUILD__SCI_B_W6A_Balanced_Plate_Explore.html,Stretch,OK,screen_n=1 print_n=2,1.0,compare two made up plates which plate has more food groups say which one say why then say what you would change,compare two made up plates which plate has more food groups say which one say why then say what you would change
BUILD__SCI_B_W6B_Balanced_Plate_Do.html,Supported,OK,screen_n=1 print_n=2,1.0,the plate sections are labelled for you choose from a small set of cards,the plate sections are labelled for you choose from a small set of cards
BUILD__SCI_B_W6B_Balanced_Plate_Do.html,Standard,OK,screen_n=1 print_n=2,1.0,build the full card model then explain two decisions,build the full card model then explain two decisions
BUILD__SCI_B_W6B_Balanced_Plate_Do.html,Stretch,OK,screen_n=1 print_n=2,1.0,judge your model as a way to teach change one part a new learner should then see the group pattern,judge your model as a way to teach change one part a new learner should then see the group pattern
BUILD__SCI_B_W7A_Food_Sources_Explore.html,Supported,OK,screen_n=1 print_n=2,1.0,match four animal food pairs use the picture anchors they will help you,match four animal food pairs use the picture anchors they will help you
BUILD__SCI_B_W7A_Food_Sources_Explore.html,Standard,OK,screen_n=1 print_n=2,1.0,match six pairs then build one food path use three cards,match six pairs then build one food path use three cards
BUILD__SCI_B_W7A_Food_Sources_Explore.html,Stretch,OK,screen_n=1 print_n=2,1.0,build two paths then take one food source away what would change say what might happen next,build two paths then take one food source away what would change say what might happen next
