id,pathway,subject,term,week,sow_slot,objective,html,classification,chassis,target,title,status
BUILD_HUM_S1_W01,BUILD,Humanities,Sum1,1,27,Name and locate my school and local features.,packs/HUM_Summer_1_BUILD_Final/BUILD/Summer_1/W01/BUILD_HUM_S1_W01_Lesson.html,new_core_sow_lesson,classroom,Humanities_Teesside/BUILD_W27-W39_2026-27/BUILD_HUM_S1_W01_Lesson.html,My school and local features,P1 authored
BUILD_HUM_S1_W02,BUILD,Humanities,Sum1,2,28,Use a simple map or plan of a familiar place.,,,,Humanities_Teesside/BUILD_W27-W39_2026-27/BUILD_HUM_S1_W02_Lesson.html,,WAITING P1 ok
BUILD_HUM_S1_W03,BUILD,Humanities,Sum1,3,29,Compare my place with a contrasting place.,,,,Humanities_Teesside/BUILD_W27-W39_2026-27/BUILD_HUM_S1_W03_Lesson.html,,WAITING P1 ok
BUILD_HUM_S1_W04,BUILD,Humanities,Sum1,4,30,Carry out simple fieldwork in the grounds.,,,,Humanities_Teesside/BUILD_W27-W39_2026-27/BUILD_HUM_S1_W04_Lesson.html,,WAITING P1 ok
BUILD_HUM_S1_W05,BUILD,Humanities,Sum1,5,31,Talk about the wider world using continents and oceans.,,,,Humanities_Teesside/BUILD_W27-W39_2026-27/BUILD_HUM_S1_W05_Lesson.html,,WAITING P1 ok
BUILD_HUM_S1_W06,BUILD,Humanities,Sum1,6,32,Record local features on a class map.,,,,Humanities_Teesside/BUILD_W27-W39_2026-27/BUILD_HUM_S1_W06_Lesson.html,,WAITING P1 ok
GROW_HUM_S1_W01,GROW,Humanities,Sum1,1,27,Locate my place the UK and the wider world on maps.,packs/HUM_Summer_1_GROW_Final/GROW/Summer_1/W01/GROW_HUM_S1_W01_Lesson.html,new_core_sow_lesson,review,Humanities_Teesside/GROW_W27-W39_2026-27/GROW_HUM_S1_W01_Lesson.html,"My place, the UK and the wider world",P1 authored
GROW_HUM_S1_W02,GROW,Humanities,Sum1,2,28,Use atlases grid references and digital maps.,,,,Humanities_Teesside/GROW_W27-W39_2026-27/GROW_HUM_S1_W02_Lesson.html,,WAITING P1 ok
GROW_HUM_S1_W03,GROW,Humanities,Sum1,3,29,Carry out simple fieldwork about my local area.,,,,Humanities_Teesside/GROW_W27-W39_2026-27/GROW_HUM_S1_W03_Lesson.html,,WAITING P1 ok
GROW_HUM_S1_W04,GROW,Humanities,Sum1,4,30,Describe physical and human features of a place.,,,,Humanities_Teesside/GROW_W27-W39_2026-27/GROW_HUM_S1_W04_Lesson.html,,WAITING P1 ok
GROW_HUM_S1_W05,GROW,Humanities,Sum1,5,31,Compare my locality with a contrasting place.,,,,Humanities_Teesside/GROW_W27-W39_2026-27/GROW_HUM_S1_W05_Lesson.html,,WAITING P1 ok
GROW_HUM_S1_W06,GROW,Humanities,Sum1,6,32,Complete a fieldwork and locality study and bank UAS evidence.,,,,Humanities_Teesside/GROW_W27-W39_2026-27/GROW_HUM_S1_W06_Lesson.html,,WAITING P1 ok
LAUNCH_HUM_S1_W01,LAUNCH,Humanities,Sum1,1,27,Explain resource use and climate change using online data.,packs/HUM_Summer_1_LAUNCH_Final/LAUNCH/Summer_1/W01/LAUNCH_HUM_S1_W01_Lesson.html,new_core_sow_lesson,review,Humanities_Teesside/LAUNCH_W27-W39_2026-27/LAUNCH_HUM_S1_W01_Lesson.html,Resource use and climate evidence,P1 authored
LAUNCH_HUM_S1_W02,LAUNCH,Humanities,Sum1,2,28,Evaluate responses to climate change.,,,,Humanities_Teesside/LAUNCH_W27-W39_2026-27/LAUNCH_HUM_S1_W02_Lesson.html,,WAITING P1 ok
LAUNCH_HUM_S1_W03,LAUNCH,Humanities,Sum1,3,29,Make a reasoned geographical decision.,,,,Humanities_Teesside/LAUNCH_W27-W39_2026-27/LAUNCH_HUM_S1_W03_Lesson.html,,WAITING P1 ok
LAUNCH_HUM_S1_W04,LAUNCH,Humanities,Sum1,4,30,Create a digital sustainability campaign linked to Earth Day.,,,,Humanities_Teesside/LAUNCH_W27-W39_2026-27/LAUNCH_HUM_S1_W04_Lesson.html,,WAITING P1 ok
