file,check,found,context
BUILD__BUILD_SCIENCE_PRACTICALS_MATRIX.html,space-before-punct,'\n:',"fit fasteners. W5–W7 food topics use printed fictional resources only : no tasting, no real food in the room, no allergy exposure, and no pup"
BUILD__BUILD_SCIENCE_PRACTICALS_MATRIX_PROGRESS_SCHOOLS.html,space-before-punct,'\n:',"fit fasteners. W5–W7 food topics use printed fictional resources only : no tasting, no real food in the room, no allergy exposure, and no pup"
BUILD__SCI_B_W3A_Backbones_Explore.html,space-before-punct,'\n?',ext step E · evidence R · responded / Audience happened // · self-edit ? · read this back This lesson stores no code or pupil response. R is n
BUILD__SCI_B_W3A_Backbones_Explore.html,space-before-punct,'\n.',"ests it. 🔤 Word help on .tier.on .box.task p .box.task h3, .box.task p . Now press the group the card evidence supports. Choose one evidence c"
BUILD__SCI_B_W3A_Backbones_Explore.html,no-qmark-on-wh,'Do not run a second explanation over th,icture first Pupils watch the model; you watch access and regulation. Do not run a second explanation over the teacher. Quietly change modality if access is the barrier. Hear the word vertebrate Hear the word invertebrate Hear the word back
BUILD__SCI_B_W3A_Backbones_Explore.html,no-qmark-on-wh,'Do not reveal the answer. Receive the p,"stion. Hear this task read aloud 🎫 Exit · adult Audience closes BUILD Do not reveal the answer. Receive the pupil response in their workable modality. Name back what you heard, then calibrate one next move. No signature t"
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,space-before-punct,'\n?',ext step E · evidence R · responded / Audience happened // · self-edit ? · read this back This lesson stores no code or pupil response. R is n
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,space-before-punct,'\n.',"ests it. 🔤 Word help on .tier.on .box.task p .box.task h3, .box.task p . Now press the group the card evidence supports. Choose one evidence c"
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,no-qmark-on-wh,'Do not run a second explanation over th,icture first Pupils watch the model; you watch access and regulation. Do not run a second explanation over the teacher. Quietly change modality if access is the barrier. Hear the word classify Hear the word vertebrate Hear the word evidence
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,no-qmark-on-wh,'Do not reveal the answer. Receive the p,"stion. Hear this task read aloud 🎫 Exit · adult Audience closes BUILD Do not reveal the answer. Receive the pupil response in their workable modality. Name back what you heard, then calibrate one next move. No signature t"
BUILD__SCI_B_W4A_Muscles_Explore.html,space-before-punct,'\n?',ext step E · evidence R · responded / Audience happened // · self-edit ? · read this back This lesson stores no code or pupil response. R is n
BUILD__SCI_B_W4A_Muscles_Explore.html,space-before-punct,' \n.',ghtening: triceps contracts while biceps relaxes. You moved the model: . Use the readout — which muscle pulled? Position unchanged. FREEZE & L
BUILD__SCI_B_W4A_Muscles_Explore.html,no-qmark-on-wh,'Do not run a second explanation over th,icture first Pupils watch the model; you watch access and regulation. Do not run a second explanation over the teacher. Quietly change modality if access is the barrier. Hear the word contracts Hear the word relaxes Hear the word muscle pai
BUILD__SCI_B_W4A_Muscles_Explore.html,no-qmark-on-wh,'Do not reveal the answer. Receive the p,"stion. Hear this task read aloud 🎫 Exit · adult Audience closes BUILD Do not reveal the answer. Receive the pupil response in their workable modality. Name back what you heard, then calibrate one next move. No signature t"
BUILD__SCI_B_W4B_Muscle_Model_Do.html,space-before-punct,'\n?',ext step E · evidence R · responded / Audience happened // · self-edit ? · read this back This lesson stores no code or pupil response. R is n
BUILD__SCI_B_W4B_Muscle_Model_Do.html,space-before-punct,' \n.',ghtening: triceps contracts while biceps relaxes. You moved the model: . Use the readout — which muscle pulled? Position unchanged. FREEZE & L
BUILD__SCI_B_W4B_Muscle_Model_Do.html,no-qmark-on-wh,'Do not run a second explanation over th,icture first Pupils watch the model; you watch access and regulation. Do not run a second explanation over the teacher. Quietly change modality if access is the barrier. Hear the word model Hear the word contracts Hear the word limitation 🤝
BUILD__SCI_B_W4B_Muscle_Model_Do.html,no-qmark-on-wh,'Do not reveal the answer. Receive the p,"stion. Hear this task read aloud 🎫 Exit · adult Audience closes BUILD Do not reveal the answer. Receive the pupil response in their workable modality. Name back what you heard, then calibrate one next move. No signature t"
BUILD__SCI_B_W5A_Body_Needs_Explore.html,space-before-punct,'\n?',ext step E · evidence R · responded / Audience happened // · self-edit ? · read this back This lesson stores no code or pupil response. R is n
BUILD__SCI_B_W5A_Body_Needs_Explore.html,space-before-punct,'\n.',"ests it. 🔤 Word help on .tier.on .box.task p .box.task h3, .box.task p . Now press the group the card evidence supports. Choose one evidence c"
