file,tier,surface,negs,stem
BUILD__SCI_B_W3A_Backbones_Explore.html,,screen,2,◆ Use the BACKBONE mat. Use the NO BACKBONE mat. Sort your cards. Two anchor cards help. 🧰 Scaffold Anchor cards. A fish has an internal backbone. A crab’s hard case is o
BUILD__SCI_B_W3A_Backbones_Explore.html,,screen,2,▲ Sort all eight animals. Then pick one. Write one ‘because’ sentence. It must prove your choice. 🧰 Scaffold Sentence stem. ‘The ___ is a ___ because I can see ___’. Or s
BUILD__SCI_B_W3A_Backbones_Explore.html,,screen,4,★ Sort them all. Justify two choices. An invertebrate has no backbone. Explain what holds it up. 🧰 Scaffold Add a counterexample. Pick a big animal. Pick a small one. Siz
BUILD__SCI_B_W3A_Backbones_Explore.html,,print,3,Model: helps us see — The model helps us check one feature every time: the internal backbone. Does not show — It does not show every feature. Looks alone cannot prove a c
BUILD__SCI_B_W3A_Backbones_Explore.html,,print,2,"Optional one-page capture. Point, say, draw or have an adult scribe — writing is never required. This sheet adds to the tiered pack; it never replaces it."
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,,screen,2,◆ Classify six creatures. Use the anchor pair. An adult reads with you. 🧰 Scaffold Keep two cards out. Match each to the anchor pair. Fish has a backbone. Crab does not. 
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,,screen,4,★ Add a creature you do not know. Not sure? Say what more evidence you need. 🧰 Scaffold Use the words ‘not a valid test’. Pick one feature that tricks you. Then reject it
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,Stretch,print,2,★ Add a creature you do not know. Not sure? Say what more evidence you need.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,,print,2,Arrival (Supported forms): 1) Point to BACKBONE or NO BACKBONE for a robin. 2) Point to the one with no backbone: the fish or the worm. 3) Point to the backbone on the fi
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,,print,2,★ Add a creature you do not know. Not sure? Say what more evidence you need.
BUILD__SCI_B_W3B_Backbone_Detectives_Do.html,,print,2,"Optional one-page capture. Point, say, draw or have an adult scribe — writing is never required. This sheet adds to the tiered pack; it never replaces it."
BUILD__SCI_B_W4A_Muscles_Explore.html,,screen,2,◆ Use a built arm. Place the CONTRACTS label. Place the RELAXES label. 🧰 Scaffold Two labels only. CONTRACTS = pulls. RELAXES = not pulling now. Word bank: pull · bend · 
BUILD__SCI_B_W4A_Muscles_Explore.html,,screen,2,★ Explain the bend. Explain the straighten. A muscle can only pull. So why do you need two? 🧰 Scaffold Use the words ‘muscles only pull’. So one muscle cannot push the ar
BUILD__SCI_B_W4A_Muscles_Explore.html,,print,3,Model: helps us see — The arm model lets us see the two pulls swap. Does not show — Card and string are not real body parts. It cannot measure force or show a full elbow.
BUILD__SCI_B_W4A_Muscles_Explore.html,,print,2,"Optional one-page capture. Point, say, draw or have an adult scribe — writing is never required. This sheet adds to the tiered pack; it never replaces it."
BUILD__SCI_B_W4B_Muscle_Model_Do.html,,screen,2,★ Make the model better. Or find a fault. Keep the pull-pair rule. 🧰 Scaffold Model critique. What does the band do well? What is not real about it? Fade it: remove the f
BUILD__SCI_B_W4B_Muscle_Model_Do.html,,print,2,"Model: helps us see — The model shows one idea: opposite moves need opposite pulls. Does not show — It does not show tendons, real anatomy, force or tiredness."
BUILD__SCI_B_W4B_Muscle_Model_Do.html,,print,2,"Optional one-page capture. Point, say, draw or have an adult scribe — writing is never required. This sheet adds to the tiered pack; it never replaces it."
BUILD__SCI_B_W5A_Body_Needs_Explore.html,,screen,3,★ One food type cannot do every job. Explain why. Then compare what two animals need. 🧰 Scaffold Use ‘different needs’ and ‘variety’. Talk about animals only. Never talk 
BUILD__SCI_B_W5A_Body_Needs_Explore.html,,print,2,"Model: helps us see — The model links one nutrient to one function. You reason from the evidence given. Does not show — Real foods mix many nutrients, and needs vary. Thi"
