pathway,week,keyword,occurrences,status
BUILD,W3,backbone,104,TAUGHT
BUILD,W3,vertebrate,52,TAUGHT
BUILD,W3,invertebrate,23,TAUGHT
BUILD,W3,skeleton,7,TAUGHT
BUILD,W4,muscle,62,TAUGHT
BUILD,W4,pair,35,TAUGHT
BUILD,W4,contract,54,TAUGHT
BUILD,W4,relax,37,TAUGHT
BUILD,W4,bone,29,TAUGHT
BUILD,W5,nutrition,10,TAUGHT
BUILD,W5,energy,20,TAUGHT
BUILD,W5,growth,19,TAUGHT
BUILD,W5,repair,21,TAUGHT
BUILD,W6,group,98,TAUGHT
BUILD,W6,balanced,23,TAUGHT
BUILD,W6,protein,8,TAUGHT
BUILD,W6,dairy,9,TAUGHT
BUILD,W7,food chain,6,TAUGHT
BUILD,W7,plant,36,TAUGHT
BUILD,W7,animal,77,TAUGHT
BUILD,W7,eat,62,TAUGHT
GROW,W3,friction,109,TAUGHT
GROW,W3,surface,105,TAUGHT
GROW,W3,helpful,26,TAUGHT
GROW,W3,unhelpful,14,TAUGHT
GROW,W4,lever,63,TAUGHT
GROW,W4,pulley,39,TAUGHT
GROW,W4,gear,37,TAUGHT
GROW,W4,pivot,89,TAUGHT
GROW,W5,fair test,28,TAUGHT
GROW,W5,repeat,53,TAUGHT
GROW,W5,variable,32,TAUGHT
GROW,W5,record,31,TAUGHT
GROW,W6,orbit,55,TAUGHT
GROW,W6,planet,111,TAUGHT
GROW,W6,gravity,59,TAUGHT
GROW,W6,Sun,61,TAUGHT
GROW,W7,Moon,130,TAUGHT
GROW,W7,phase,95,TAUGHT
GROW,W7,orbit,34,TAUGHT
GROW,W7,Earth,42,TAUGHT
LAUNCH,W3,magnification,108,TAUGHT
LAUNCH,W3,resolution,43,TAUGHT
LAUNCH,W3,microscope,35,TAUGHT
LAUNCH,W3,micrometre,12,TAUGHT
LAUNCH,W4,diffusion,89,TAUGHT
LAUNCH,W4,gradient,40,TAUGHT
LAUNCH,W4,concentration,23,TAUGHT
LAUNCH,W4,particle,31,TAUGHT
LAUNCH,W5,osmosis,78,TAUGHT
LAUNCH,W5,partially permeable,15,TAUGHT
LAUNCH,W5,water,86,TAUGHT
LAUNCH,W5,potato,22,TAUGHT
LAUNCH,W6,active transport,81,TAUGHT
LAUNCH,W6,energy,84,TAUGHT
LAUNCH,W6,respiration,37,TAUGHT
LAUNCH,W6,gradient,59,TAUGHT
LAUNCH,W7,command word,39,TAUGHT
LAUNCH,W7,describe,17,TAUGHT
LAUNCH,W7,explain,82,TAUGHT
LAUNCH,W7,evaluate,4,TAUGHT
