pathway,file,correct_index,correct_text,stem,options
BUILD,SCI_B_W3A_Backbones_Explore.html,0,A line of bones down the back,,[0]A line of bones down the back | [1]It is big | [2]It has fur
BUILD,SCI_B_W3B_Backbone_Detectives_Do.html,0,Yes — it has a backbone,,[0]Yes — it has a backbone | [1]No — it has no legs | [2]Only if it is large
BUILD,SCI_B_W4A_Muscles_Explore.html,0,Biceps contracts and triceps relaxes,,[0]Biceps contracts and triceps relaxes | [1]Both muscles push | [2]Triceps contracts to bend
BUILD,SCI_B_W4B_Muscle_Model_Do.html,0,The lower band pulls,,[0]The lower band pulls | [1]The top band pushes | [2]The bone moves itself
BUILD,SCI_B_W5A_Body_Needs_Explore.html,0,Different types can support different jobs,,[0]Different types can support different jobs | [1]One ‘super food’ does every job | [2]All animals need exactly the same food
BUILD,SCI_B_W5B_Nutrition_Mission_Do.html,0,‘Beans can support growth and repair’,,[0]‘Beans can support growth and repair’ | [1]‘Beans are good’ | [2]‘Everyone must eat beans’
BUILD,SCI_B_W6A_Balanced_Plate_Explore.html,0,A range across the groups over time,,[0]A range across the groups over time | [1]Exactly equal amounts of every group | [2]Some foods are forbidden
BUILD,SCI_B_W6B_Balanced_Plate_Do.html,0,Add group labels and explain the pattern,,[0]Add group labels and explain the pattern | [1]Add a score out of ten | [2]Call foods good and bad
BUILD,SCI_B_W7A_Food_Sources_Explore.html,0,Animals must obtain food by eating,,[0]Animals must obtain food by eating | [1]Animals make food inside their bodies like plants | [2]Every animal eats the same food
BUILD,SCI_B_W7B_Food_Chain_Do.html,0,It can make its own food,,[0]It can make its own food | [1]It hunts the caterpillar | [2]It is the biggest organism
LAUNCH,SCI_L_W3L1_Microscopy_Introduce.html,0,Magnification increased; resolution did not,,[0]Magnification increased; resolution did not | [1]Resolution doubled | [2]The actual cell became bigger
LAUNCH,SCI_L_W3L2_Calculating_Magnification_Explore.html,0,×200,,[0]×200 | [1]×4.5 | [2]200 mm
LAUNCH,SCI_L_W3L3_Magnification_Lab_Do.html,0,0.05 mm,,[0]0.05 mm | [1]8000 mm | [2]20.4 mm
LAUNCH,SCI_L_W4L1_Diffusion_Introduce.html,0,More particles move high→low overall,,[0]More particles move high→low overall | [1]Particles only move high→low | [2]The cell pumps them
LAUNCH,SCI_L_W4L2_Diffusion_Lungs_Explore.html,0,It maintains a steep concentration gradient,,[0]It maintains a steep concentration gradient | [1]It makes the membrane thicker | [2]It gives diffusion energy
LAUNCH,SCI_L_W4L3_Diffusion_Explanation_Do.html,0,because oxygen concentration is higher in the alveolus,,[0]because oxygen concentration is higher in the alveolus | [1]oxygen moves | [2]the alveolus is there
LAUNCH,SCI_L_W5L1_Osmosis_Introduce.html,0,Water,,[0]Water | [1]Sugar | [2]Any particle
LAUNCH,SCI_L_W5L2_Osmosis_Core_Practical_Explore.html,0,Initial mass,,[0]Initial mass | [1]Final mass | [2]Largest mass
LAUNCH,SCI_L_W5L3_Osmosis_Data_Do.html,0,A concentration with little/no net water movement,,[0]A concentration with little/no net water movement | [1]The biggest potato | [2]Fastest diffusion
LAUNCH,SCI_L_W6L1_Active_Transport_Introduce.html,0,Active transport,,[0]Active transport | [1]Diffusion | [2]Osmosis
LAUNCH,SCI_L_W6L2_Root_Hairs_And_Gut_Explore.html,0,Less respiration releases less energy for active transport,,[0]Less respiration releases less energy for active transport | [1]Oxygen becomes mineral ions | [2]Diffusion loses its gradient
LAUNCH,SCI_L_W6L3_Compare_Transport_Do.html,0,Against-gradient movement using energy,,[0]Against-gradient movement using energy | [1]Water only | [2]High→low no energy
LAUNCH,SCI_L_W7L1_Topic_1_Round_Up_Introduce.html,0,Active transport,,[0]Active transport | [1]Diffusion | [2]Osmosis
LAUNCH,SCI_L_W7L2_Command_Words_Explore.html,0,Both processes with similarities/differences,,[0]Both processes with similarities/differences | [1]Only diffusion | [2]A calculation
LAUNCH,SCI_L_W7L3_Exam_Practice_Do.html,0,Change one scientific part and explain why,,[0]Change one scientific part and explain why | [1]Copy full model answer | [2]Hide first attempt
